Validity_date,City,Persist_value_minTemp,EC_minTemp_1,EC_minTemp_2,CO_minTemp_1,CO_minTemp_2,C3_minTemp_1,C3_minTemp_2,OH_minTemp_1,OH_minTemp_2
07/01/2016,En Gedi,13,15,16,14,13,13,14,14,15
07/01/2016,Haifa,14,13,13,12,12,12,12,13,14
07/01/2016,Jerusalem,10,9,9,11,10,10,11,11,12
07/01/2016,Lod,10,11,10,14,14,13,14,13,11
07/01/2016,Mizpe Ramon,10,9,9,11,11,11,11,11,12
07/01/2016,Nazareth,11,11,11,12,11,12,12,11,13
07/01/2016,Qazrin,8,8,8,11,11,11,10,11,11
07/01/2016,Tel Aviv,13,10,11,12,12,12,12,11,13
07/01/2016,Tiberias,11,11,11,12,12,13,13,11,11
07/01/2016,Zefat,7,8,7,9,9,9,9,11,11
08/01/2016,Afula,6,12,12,12,11,12,12,13,13
08/01/2016,Ashdod,12,16,15,15,16,14,15,15,15
08/01/2016,Beer Sheva,9,11,11,11,10,11,12,12,13
08/01/2016,Bet Shean,8,12,12,13,13,13,13,16,16
08/01/2016,Elat,12,12,12,14,14,13,13,14,14
08/01/2016,En Gedi,15,12,12,16,16,14,14,17,18
08/01/2016,Haifa,13,12,12,14,14,11,12,14,14
08/01/2016,Jerusalem,12,9,9,9,9,8,8,10,9
08/01/2016,Lod,10,12,12,11,11,14,13,14,13
08/01/2016,Mizpe Ramon,10,10,8,9,9,8,8,9,9
08/01/2016,Nazareth,12,11,11,11,11,11,11,11,11
08/01/2016,Qazrin,10,9,9,9,9,9,9,10,10
08/01/2016,Tel Aviv,12,13,13,13,13,15,12,13,13
08/01/2016,Tiberias,12,11,11,12,12,11,12,11,11
08/01/2016,Zefat,9,9,9,11,11,8,7,10,10
09/01/2016,Afula,11,10,11,12,11,10,11,11,12
09/01/2016,Ashdod,16,15,14,17,17,17,15,15,15
09/01/2016,Beer Sheva,12,11,11,11,11,10,10,12,12
09/01/2016,Bet Shean,13,10,10,12,13,12,11,11,14
09/01/2016,Elat,16,13,13,14,15,15,14,14,14
09/01/2016,En Gedi,19,13,13,16,16,15,15,16,16
09/01/2016,Haifa,11,13,12,13,13,13,13,14,15
09/01/2016,Jerusalem,8,8,8,9,9,7,8,10,9
09/01/2016,Lod,14,10,10,13,12,13,14,13,13
09/01/2016,Mizpe Ramon,8,9,8,10,9,8,8,10,10
09/01/2016,Nazareth,10,11,11,11,10,11,12,10,10
09/01/2016,Qazrin,9,9,9,9,9,9,7,10,9
09/01/2016,Tel Aviv,15,13,13,14,14,12,16,13,13
09/01/2016,Tiberias,13,10,10,13,12,11,10,10,10
09/01/2016,Zefat,7,8,8,10,10,7,7,10,9
10/01/2016,Afula,9,8,6,10,9,8,8,11,9
10/01/2016,Ashdod,16,13,13,11,13,12,12,12,12
10/01/2016,Beer Sheva,11,7,8,8,9,10,10,9,8
10/01/2016,Bet Shean,10,8,8,11,11,10,10,12,11
10/01/2016,Elat,17,8,8,11,10,10,10,9,10
10/01/2016,En Gedi,17,12,13,14,14,13,12,14,13
10/01/2016,Haifa,12,10,10,10,10,11,11,11,12
10/01/2016,Jerusalem,7,6,5,7,8,6,7,8,8
10/01/2016,Lod,12,9,9,12,12,11,11,10,10
10/01/2016,Mizpe Ramon,9,5,4,7,7,8,7,7,7
10/01/2016,Nazareth,11,8,8,7,7,8,8,8,8
10/01/2016,Qazrin,9,8,8,7,7,7,7,7,6
10/01/2016,Tel Aviv,14,10,9,12,11,10,10,10,12
10/01/2016,Tiberias,12,11,10,9,10,9,9,8,8
10/01/2016,Zefat,6,9,8,7,7,6,6,7,6
11/01/2016,Afula,8,7,7,9,9,8,9,9,9
11/01/2016,Ashdod,10,13,13,12,12,13,13,11,10
11/01/2016,Beer Sheva,7,6,5,9,9,11,11,8,9
11/01/2016,Bet Shean,10,7,8,11,10,9,10,11,11
11/01/2016,Elat,10,6,7,11,12,11,11,10,11
11/01/2016,En Gedi,14,10,10,15,15,12,13,13,14
11/01/2016,Haifa,10,11,11,10,10,9,9,10,12
11/01/2016,Jerusalem,8,6,8,9,9,7,7,9,8
11/01/2016,Lod,8,8,8,11,11,11,11,9,9
11/01/2016,Mizpe Ramon,5,8,8,7,7,8,8,8,8
11/01/2016,Nazareth,10,8,8,9,10,9,10,9,9
11/01/2016,Qazrin,5,7,8,9,9,8,8,7,9
11/01/2016,Tel Aviv,10,7,7,11,10,11,11,10,10
11/01/2016,Tiberias,10,9,10,11,10,11,11,9,8
11/01/2016,Zefat,6,6,6,9,8,7,7,10,9
12/01/2016,Afula,5,7,7,10,10,7,7,10,10
12/01/2016,Ashdod,10,13,13,13,12,12,12,10,10
12/01/2016,Beer Sheva,6,6,6,9,9,9,10,8,8
12/01/2016,Bet Shean,7,7,7,10,11,10,10,12,11
12/01/2016,Elat,13,7,7,11,11,8,8,11,11
12/01/2016,En Gedi,15,12,12,13,13,12,12,14,14
12/01/2016,Haifa,11,8,10,11,11,11,11,10,12
12/01/2016,Jerusalem,8,7,8,9,9,7,8,9,9
12/01/2016,Lod,7,8,8,11,10,9,10,9,9
12/01/2016,Mizpe Ramon,6,5,5,9,8,7,7,8,8
12/01/2016,Nazareth,9,7,7,10,10,7,8,9,9
12/01/2016,Qazrin,9,7,7,9,9,8,8,7,10
12/01/2016,Tel Aviv,8,6,7,11,10,9,10,10,9
12/01/2016,Tiberias,12,9,9,10,11,9,10,9,9
12/01/2016,Zefat,6,5,5,9,9,8,9,10,10
13/01/2016,Afula,5,7,7,10,9,8,7,9,10
13/01/2016,Ashdod,10,13,13,11,11,12,10,11,11
13/01/2016,Beer Sheva,5,6,6,10,9,11,11,8,9
13/01/2016,Bet Shean,9,8,9,10,10,9,9,11,11
13/01/2016,Elat,12,6,6,13,12,11,10,10,10
13/01/2016,En Gedi,15,12,13,15,15,11,11,14,14
13/01/2016,Haifa,10,11,11,11,11,11,11,10,12
13/01/2016,Jerusalem,8,9,9,10,9,9,9,9,9
13/01/2016,Lod,8,7,7,12,11,10,10,9,10
13/01/2016,Mizpe Ramon,6,8,7,8,8,9,8,9,9
13/01/2016,Nazareth,10,8,9,10,10,7,8,10,10
13/01/2016,Qazrin,9,7,7,10,10,9,9,7,10
13/01/2016,Tel Aviv,8,5,7,10,10,10,10,11,10
13/01/2016,Tiberias,10,9,9,11,10,10,10,9,9
13/01/2016,Zefat,7,7,7,8,8,9,8,10,10
14/01/2016,Afula,4,6,7,10,10,8,10,9,9
14/01/2016,Ashdod,10,12,12,12,12,12,11,12,12
14/01/2016,Beer Sheva,6,8,8,9,9,10,11,9,9
14/01/2016,Bet Shean,8,9,8,10,11,9,10,12,11
14/01/2016,Elat,13,9,8,12,12,10,11,10,11
14/01/2016,En Gedi,15,10,10,13,13,12,12,14,14
14/01/2016,Haifa,12,10,11,11,11,12,12,12,9
14/01/2016,Jerusalem,10,6,7,9,9,9,9,9,10
14/01/2016,Lod,8,9,10,11,11,11,12,9,9
14/01/2016,Mizpe Ramon,6,7,6,9,9,10,9,9,10
14/01/2016,Nazareth,10,8,8,9,9,8,9,10,10
14/01/2016,Qazrin,10,7,9,8,8,8,9,7,9
14/01/2016,Tel Aviv,9,8,8,10,10,10,11,9,9
14/01/2016,Tiberias,11,10,11,10,11,9,10,10,10
14/01/2016,Zefat,8,9,9,8,8,8,8,9,9
15/01/2016,Afula,7,9,9,10,11,10,9,10,11
15/01/2016,Ashdod,12,15,15,12,12,12,12,13,13
15/01/2016,Beer Sheva,10,10,9,10,9,11,11,11,12
15/01/2016,Bet Shean,8,10,10,11,11,11,11,12,13
15/01/2016,Elat,10,8,8,13,12,11,10,14,11
15/01/2016,En Gedi,13,13,13,15,15,14,15,16,15
15/01/2016,Haifa,12,11,12,11,11,12,12,12,11
15/01/2016,Jerusalem,9,8,7,9,9,9,9,9,10
15/01/2016,Lod,10,9,9,12,12,12,12,11,12
15/01/2016,Mizpe Ramon,9,9,6,9,9,8,8,9,10
15/01/2016,Nazareth,11,9,10,10,10,9,9,9,10
15/01/2016,Qazrin,8,10,9,8,9,9,9,8,9
15/01/2016,Tel Aviv,12,8,9,11,12,12,12,11,12
15/01/2016,Tiberias,12,11,10,11,12,11,11,10,10
15/01/2016,Zefat,7,9,7,8,8,7,7,10,9
16/01/2016,Afula,8,6,6,10,9,9,9,9,9
16/01/2016,Ashdod,13,13,13,11,11,10,10,10,10
16/01/2016,Beer Sheva,11,7,7,10,10,11,11,9,9
16/01/2016,Bet Shean,9,8,9,10,10,10,10,11,11
16/01/2016,Elat,12,7,7,12,12,13,13,14,11
16/01/2016,En Gedi,17,10,10,15,15,14,15,14,15
16/01/2016,Haifa,12,10,10,11,10,10,10,12,10
16/01/2016,Jerusalem,9,6,6,9,9,8,7,8,8
16/01/2016,Lod,11,7,8,11,11,12,11,9,9
16/01/2016,Mizpe Ramon,8,6,6,7,7,7,7,8,8
16/01/2016,Nazareth,11,7,7,10,9,9,9,9,9
16/01/2016,Qazrin,8,7,7,10,9,8,8,9,10
16/01/2016,Tel Aviv,11,6,7,10,10,11,10,9,9
16/01/2016,Tiberias,12,9,9,10,10,11,11,8,9
16/01/2016,Zefat,7,7,6,8,7,7,7,9,10
17/01/2016,Afula,4,9,10,12,12,10,10,12,12
17/01/2016,Ashdod,10,13,13,12,12,13,11,12,12
17/01/2016,Beer Sheva,6,9,10,11,12,12,12,12,15
17/01/2016,Bet Shean,7,10,9,12,12,11,12,14,13
17/01/2016,Elat,13,8,9,17,15,14,13,16,14
17/01/2016,En Gedi,17,13,13,16,16,15,14,19,16
17/01/2016,Haifa,11,14,14,12,13,10,10,16,16
17/01/2016,Jerusalem,9,9,9,12,12,8,9,12,12
17/01/2016,Lod,7,10,11,12,12,11,11,13,14
17/01/2016,Mizpe Ramon,7,13,13,11,11,9,9,11,12
17/01/2016,Nazareth,9,12,12,11,12,11,11,13,13
17/01/2016,Qazrin,8,11,12,12,12,11,10,13,13
17/01/2016,Tel Aviv,9,8,9,12,11,12,11,13,14
17/01/2016,Tiberias,10,13,13,14,14,13,13,13,13
17/01/2016,Zefat,7,10,10,10,10,8,8,13,13
18/01/2016,Afula,9,11,11,12,12,9,10,13,13
18/01/2016,Ashdod,12,15,15,14,13,12,13,15,14
18/01/2016,Beer Sheva,10,10,10,10,10,11,11,11,12
18/01/2016,Bet Shean,10,10,12,12,13,10,10,17,16
18/01/2016,Elat,11,12,12,17,16,18,17,15,15
18/01/2016,En Gedi,14,11,11,16,15,13,13,18,17
18/01/2016,Haifa,13,13,13,12,12,13,13,15,15
18/01/2016,Jerusalem,11,9,9,9,8,8,8,9,10
18/01/2016,Lod,8,11,11,11,11,13,13,14,14
18/01/2016,Mizpe Ramon,12,8,10,8,8,8,8,9,9
18/01/2016,Nazareth,12,11,11,11,11,10,10,11,11
18/01/2016,Qazrin,12,9,9,10,9,9,9,10,10
18/01/2016,Tel Aviv,10,12,12,12,12,12,12,14,14
18/01/2016,Tiberias,17,11,11,11,11,11,11,12,12
18/01/2016,Zefat,8,7,7,8,8,6,6,12,12
19/01/2016,Afula,6,9,9,9,8,9,10,10,10
19/01/2016,Ashdod,15,13,14,11,10,11,10,13,13
19/01/2016,Beer Sheva,10,7,7,6,7,7,7,9,9
19/01/2016,Bet Shean,8,10,10,10,10,11,12,13,13
19/01/2016,Elat,18,8,7,10,10,10,10,10,11
19/01/2016,En Gedi,15,9,9,13,13,11,11,14,14
19/01/2016,Haifa,14,10,10,12,12,12,12,12,12
19/01/2016,Jerusalem,9,5,6,6,5,5,5,6,6
19/01/2016,Lod,11,8,9,9,8,10,10,11,11
19/01/2016,Mizpe Ramon,9,5,5,4,4,4,4,5,5
19/01/2016,Nazareth,13,8,8,8,7,9,8,8,8
19/01/2016,Qazrin,11,7,7,5,5,6,7,8,8
19/01/2016,Tel Aviv,13,11,12,10,11,11,10,11,11
19/01/2016,Tiberias,12,9,9,9,9,9,9,8,9
19/01/2016,Zefat,8,7,7,6,5,4,4,8,8
20/01/2016,Afula,9,8,8,10,10,9,9,9,9
20/01/2016,Ashdod,14,12,12,11,11,12,12,12,12
20/01/2016,Beer Sheva,8,9,8,8,9,9,9,10,9
20/01/2016,Bet Shean,11,9,9,11,11,12,12,11,11
20/01/2016,Elat,12,6,6,9,9,8,8,9,8
20/01/2016,En Gedi,15,10,11,14,15,13,13,14,14
20/01/2016,Haifa,10,10,9,13,11,11,12,12,12
20/01/2016,Jerusalem,5,7,8,7,7,7,7,7,7
20/01/2016,Lod,10,9,9,10,10,12,12,10,10
20/01/2016,Mizpe Ramon,5,4,5,5,5,6,5,6,6
20/01/2016,Nazareth,7,8,8,9,9,9,9,8,8
20/01/2016,Qazrin,7,7,7,8,8,8,7,7,8
20/01/2016,Tel Aviv,13,10,9,11,10,11,11,10,10
20/01/2016,Tiberias,11,8,8,10,10,14,10,8,8
20/01/2016,Zefat,4,6,6,7,7,6,5,8,8
21/01/2016,Afula,10,6,7,10,9,8,7,8,8
21/01/2016,Ashdod,11,11,12,11,12,9,11,10,10
21/01/2016,Beer Sheva,8,5,5,9,9,9,11,7,7
21/01/2016,Bet Shean,11,7,8,10,10,9,9,10,10
21/01/2016,Elat,9,5,6,11,10,11,11,12,9
21/01/2016,En Gedi,15,9,10,15,15,13,13,13,13
21/01/2016,Haifa,10,10,9,11,10,9,9,11,11
21/01/2016,Jerusalem,6,5,6,8,8,7,7,7,7
21/01/2016,Lod,11,7,6,11,11,11,10,8,8
21/01/2016,Mizpe Ramon,3,5,5,7,7,6,7,6,6
21/01/2016,Nazareth,8,6,6,10,9,8,8,7,8
21/01/2016,Qazrin,7,6,7,9,8,8,8,8,8
21/01/2016,Tel Aviv,10,6,5,10,9,10,9,8,8
21/01/2016,Tiberias,11,8,8,12,10,13,9,7,7
21/01/2016,Zefat,4,5,4,9,7,6,6,8,8
22/01/2016,Afula,4,6,6,9,8,8,8,9,8
22/01/2016,Ashdod,8,12,12,10,10,9,10,11,10
22/01/2016,Beer Sheva,5,6,6,8,8,10,9,7,6
22/01/2016,Bet Shean,6,9,7,9,10,10,10,11,11
22/01/2016,Elat,11,5,5,10,10,8,8,9,10
22/01/2016,En Gedi,14,10,11,12,12,11,11,16,12
22/01/2016,Haifa,10,10,10,10,10,11,11,11,11
22/01/2016,Jerusalem,7,6,6,7,8,7,7,7,8
22/01/2016,Lod,6,7,7,9,9,10,10,8,8
22/01/2016,Mizpe Ramon,4,4,5,7,7,8,7,7,7
22/01/2016,Nazareth,9,7,7,9,9,8,7,10,10
22/01/2016,Qazrin,7,5,6,9,9,9,8,9,11
22/01/2016,Tel Aviv,8,6,6,9,9,10,9,8,8
22/01/2016,Tiberias,9,8,8,10,10,13,10,10,10
22/01/2016,Zefat,5,6,7,7,8,8,8,9,11
23/01/2016,Afula,4,9,8,9,10,8,9,10,9
23/01/2016,Ashdod,9,13,13,12,11,12,11,13,12
23/01/2016,Beer Sheva,4,9,9,10,9,9,9,9,9
23/01/2016,Bet Shean,8,9,9,10,11,9,10,12,12
23/01/2016,Elat,11,6,6,10,10,8,8,9,10
23/01/2016,En Gedi,13,11,10,13,12,12,12,15,13
23/01/2016,Haifa,10,10,9,12,12,12,10,12,8
23/01/2016,Jerusalem,7,7,7,9,8,7,7,8,7
23/01/2016,Lod,7,9,10,11,11,12,11,10,9
23/01/2016,Mizpe Ramon,5,7,7,7,8,7,6,7,7
23/01/2016,Nazareth,10,8,8,9,9,9,9,9,8
23/01/2016,Qazrin,9,8,8,9,9,8,8,8,8
23/01/2016,Tel Aviv,8,9,9,11,11,11,11,10,9
23/01/2016,Tiberias,10,10,9,11,11,13,10,9,9
23/01/2016,Zefat,7,6,6,8,7,6,6,8,8
24/01/2016,Afula,8,8,8,9,10,8,9,8,9
24/01/2016,Ashdod,11,12,12,12,13,10,12.33,11,12
24/01/2016,Beer Sheva,8,7,7,8,7,7,7.33,7,8
24/01/2016,Bet Shean,8,8,9,11,11,11,10.67,12,12
24/01/2016,Elat,10,5,6,10,9,8,8,9,9
24/01/2016,En Gedi,14,9,9,13,13,11,11.67,14,13
24/01/2016,Haifa,11,9,10,10,10,11,10,10,10
24/01/2016,Jerusalem,7,6,5,5,5,5,5,6,5
24/01/2016,Lod,9,8,9,10,10,9,9.67,9,10
24/01/2016,Mizpe Ramon,7,4,5,4,4,4,4.67,4,5
24/01/2016,Nazareth,9,8,8,8,8,7,7.33,6,6
24/01/2016,Qazrin,6,6,7,7,6,6,6.33,6,6
24/01/2016,Tel Aviv,10,10,11,11,12,13,11,9,10
24/01/2016,Tiberias,11,8,8,10,10,11,8.33,6,7
24/01/2016,Zefat,6,5,4,7,6,5,5.33,6,6
25/01/2016,Afula,9,6,7,7,8,6.33,9,6,7
25/01/2016,Ashdod,13,10,10,11,10,10,11,9,9
25/01/2016,Beer Sheva,7,5,5,5,5,5,7,5,4
25/01/2016,Bet Shean,10,7,7,9,9,8.33,9,9,9
25/01/2016,Elat,10,2,3,9,7,6,7,7,6
25/01/2016,En Gedi,14,8,8,11,11,10.33,10,12,10
25/01/2016,Haifa,10,7,8,7,7,7.33,9,8,9
25/01/2016,Jerusalem,4,3,3,4,5,3.33,1,3,2
25/01/2016,Lod,10,6,6,8,8,7,8,7,7
25/01/2016,Mizpe Ramon,4,3,3,2,3,2.33,1,2,2
25/01/2016,Nazareth,8,5,6,5,6,4.33,7,3,4
25/01/2016,Qazrin,7,4,4,5,5,4,5,3,3
25/01/2016,Tel Aviv,10,8,8,10,10,8.33,9,7,7
25/01/2016,Tiberias,10,6,6,8,8,5.67,9,3,4
25/01/2016,Zefat,3,2,3,3,3,2.67,3,3,3
26/01/2016,Afula,7,4,4,5,5,5,6,3,4
26/01/2016,Ashdod,10,9,8,9,8,6,7,7,7
26/01/2016,Beer Sheva,5,4,4,5,5,5,5,5,5
26/01/2016,Bet Shean,8,6,5,7,6,7,8,3,7
26/01/2016,Elat,8,4,4,8,9,7,7,6,6
26/01/2016,En Gedi,12,8,7,9,9,8,9,10,9
26/01/2016,Haifa,6,4,5,6,6,5,4,5,6
26/01/2016,Jerusalem,1,3,3,3,1,0,1,2,2
26/01/2016,Lod,7,4,4,7,6,6,6,5,5
26/01/2016,Mizpe Ramon,2,2,2,3,2,2,1,2,2
26/01/2016,Nazareth,4,3,2,4,4,5,4,0,1
26/01/2016,Qazrin,4,2,2,3,4,3,3,0,0
26/01/2016,Tel Aviv,8,5,5,7,7,6,6,5,5
26/01/2016,Tiberias,8,4,4,6,7,9,6,0,1
26/01/2016,Zefat,0,1,0,2,2,1,0,0,0
27/01/2016,Afula,5,1,1,4,5,5,5,3,2
27/01/2016,Ashdod,7,7,7,8,7,8,6,7,6
27/01/2016,Beer Sheva,4,3,2,5,5,5,5,5,4
27/01/2016,Bet Shean,6,2,2,6,5,8,6,5,4
27/01/2016,Elat,8,3,3,9,9,8,8,7,7
27/01/2016,En Gedi,11,6,7,10,10,9,9,11,9
27/01/2016,Haifa,5,4,4,5,5,6,4,6,5
27/01/2016,Jerusalem,0,0,-2,4,3,2,2,2,1
27/01/2016,Lod,6,2,1,6,7,6,6,5,3
27/01/2016,Mizpe Ramon,1,1,1,3,2,1,1,3,3
27/01/2016,Nazareth,3,1,1,3,3,5,4,3,0
27/01/2016,Qazrin,2,0,0,3,1,3,1,0,0
27/01/2016,Tel Aviv,5,3,2,6,7,5,6,5,3
27/01/2016,Tiberias,8,3,2,5,5,7,5,0,0
27/01/2016,Zefat,-1,1,-2,1,1,2,-1,0,0
28/01/2016,Afula,3,1,0,2,3,1,1,1,1
28/01/2016,Ashdod,6,8,9,6,5,7,4,3,4
28/01/2016,Beer Sheva,3,1,1,3,4,4,4,1,1
28/01/2016,Bet Shean,4,2,1,3,3,4,4,3,4
28/01/2016,Elat,7,0,2,8,6,6,5,6,6
28/01/2016,En Gedi,11,8,5,8,8,7,7,10,10
28/01/2016,Haifa,5,4,4,3,3,4,3,4,5
28/01/2016,Jerusalem,1,0,0,1,1,1,0,0,1
28/01/2016,Lod,4,2,1,4,4,4,3,2,1
28/01/2016,Mizpe Ramon,1,0,0,2,2,1,1,0,0
28/01/2016,Nazareth,2,0,1,1,2,1,1,0,1
28/01/2016,Qazrin,2,-1,0,2,1,0,0,0,1
28/01/2016,Tel Aviv,4,3,2,3,3,3,3,2,2
28/01/2016,Tiberias,7,2,2,3,3,3,4,0,0
28/01/2016,Zefat,-1,-1,-1,0,0,-1,-1,0,1
29/01/2016,Afula,-1,2,3,4,3,3,3,3,2
29/01/2016,Ashdod,4,9,9,6,6,8,5,4,4
29/01/2016,Beer Sheva,0,3,3,3,4,5,5,1,2
29/01/2016,Bet Shean,2,3,3,4,3,5,5,4,4
29/01/2016,Elat,7,0,0,7,7,4,6,6,6
29/01/2016,En Gedi,8,9,8,9,9,8,8,11,12
29/01/2016,Haifa,3,6,6,6,4,5,7,7,7
29/01/2016,Jerusalem,-1,1,1,3,3,3,2,1,2
29/01/2016,Lod,1,3,4,6,5,6,6,3,2
29/01/2016,Mizpe Ramon,0,0,0,2,1,2,2,1,1
29/01/2016,Nazareth,1,2,3,4,3,2,2,2,2
29/01/2016,Qazrin,0,0,0,3,2,2,1,0,1
29/01/2016,Tel Aviv,2,4,4,5,5,5,5,3,3
29/01/2016,Tiberias,2,3,3,5,5,9,5,3,3
29/01/2016,Zefat,-3,0,-1,3,2,2,2,3,3
30/01/2016,Afula,1,4,5,6,5,5,4,5,6
30/01/2016,Ashdod,5,10,10,8,8,7,6,8,9
30/01/2016,Beer Sheva,1,3,4,6,6,8,7,4,5
30/01/2016,Bet Shean,2,6,5,6,5,7,6,8,8
30/01/2016,Elat,6,3,3,9,7,8,9,8,9
30/01/2016,En Gedi,10,10,10,11,11,9,8,14,14
30/01/2016,Haifa,6,7,7,8,7,9,8,10,10
30/01/2016,Jerusalem,2,5,2,5,5,5,4,5,5
30/01/2016,Lod,4,5,4,8,8,8,7,7,7
30/01/2016,Mizpe Ramon,1,3,3,3,3,4,3,4,4
30/01/2016,Nazareth,3,4,4,6,6,5,5,7,6
30/01/2016,Qazrin,-1,2,2,6,5,5,5,4,4
30/01/2016,Tel Aviv,4,4,4,7,7,7,6,7,7
30/01/2016,Tiberias,5,5,5,7,7,7,7,6,6
30/01/2016,Zefat,1,3,5,4,4,4,5,4,4
31/01/2016,Afula,0,3,3,8,6,7,6,7,7
31/01/2016,Ashdod,6,11,11,9,8,8,7,8,8
31/01/2016,Beer Sheva,2,4,4,6,6,9,8,5,5
31/01/2016,Bet Shean,2,6,6,7,7,8,7,8,8
31/01/2016,Elat,7,4,4,10,8,8,5,10,10
31/01/2016,En Gedi,11,9,10,12,12,11,9,15,15
