Validity_date,City,Persist_value_maxTemp,EC_maxTemp_1,EC_maxTemp_2,CO_maxTemp_1,CO_maxTemp_2,C3_maxTemp_1,C3_maxTemp_2,OH_maxTemp_1,OH_maxTemp_2
09/01/2016,Jerusalem,11,14,13,13,13,13,13,13,14
09/01/2016,Lod,18,16,16,16,16,19,19,16,16
09/01/2016,Mizpe Ramon,13,14,14,14,14,14,14,14,14
09/01/2016,Nazareth,12,16,15,15,15,17,17,16,15
09/01/2016,Qazrin,10,14,13,14,14,14,14,15,15
09/01/2016,Tel Aviv,17,18,17,18,17,19,19,17,17
09/01/2016,Tiberias,15,16,15,15,17,18,18,16,15
09/01/2016,Zefat,8,15,14,14,13,12,12,15,15
10/01/2016,Afula,18,16,17,16,16,16,16,18,18
10/01/2016,Ashdod,18,17,17,17,17,17,17,17,17
10/01/2016,Beer Sheva,18,17,17,17,17,17,18,16,17
10/01/2016,Bet Shean,20,17,18,18,18,17,17,19,19
10/01/2016,Elat,24,20,20,19,19,21,21,18,18
10/01/2016,En Gedi,25,16,17,18,19,16,17,19,19
10/01/2016,Haifa,17,17,16,16,16,15,16,17,17
10/01/2016,Jerusalem,12,14,14,13,13,12,12,14,14
10/01/2016,Lod,18,17,17,17,17,18,18,17,17
10/01/2016,Mizpe Ramon,14,15,15,14,14,14,15,14,14
10/01/2016,Nazareth,16,16,16,13,13,14,14,14,15
10/01/2016,Qazrin,16,15,16,14,14,12,13,14,14
10/01/2016,Tel Aviv,19,18,18,18,18,17,17,17,17
10/01/2016,Tiberias,21,16,16,15,15,17,17,14,15
10/01/2016,Zefat,10,14,15,12,11,10,11,14,14
11/01/2016,Afula,18,18,18,17,17,16,17,19,18
11/01/2016,Ashdod,19,17,17,16,16,17,17,16,17
11/01/2016,Beer Sheva,19,17,17,16,16,18,18,19,18
11/01/2016,Bet Shean,20,19,19,18,19,17,18,20,19
11/01/2016,Elat,23,20,20,19,20,19,19,18,19
11/01/2016,En Gedi,22,17,17,17,18,17,17,20,20
11/01/2016,Haifa,16,18,18,17,16,15,16,17,17
11/01/2016,Jerusalem,14,16,16,15,15,13,15,17,16
11/01/2016,Lod,20,18,17,16,16,18,18,17,17
11/01/2016,Mizpe Ramon,14,16,16,16,16,15,16,16,16
11/01/2016,Nazareth,16,18,18,15,15,15,15,16,15
11/01/2016,Qazrin,15,17,18,16,16,14,15,16,15
11/01/2016,Tel Aviv,19,18,18,17,17,17,17,17,17
11/01/2016,Tiberias,19,18,18,16,17,18,18,16,15
11/01/2016,Zefat,11,17,16,13,13,11,12,16,15
12/01/2016,Afula,18,18,18,18,17,18,18,19,20
12/01/2016,Ashdod,18,17,17,17,17,18,18,19,17
12/01/2016,Beer Sheva,20,18,18,17,17,18,17,18,18
12/01/2016,Bet Shean,18,19,19,19,19,18,19,20,21
12/01/2016,Elat,22,19,19,20,19,19,18,19,18
12/01/2016,En Gedi,21,18,18,18,18,17,17,20,21
12/01/2016,Haifa,16,17,17,18,17,17,17,18,18
12/01/2016,Jerusalem,17,16,16,15,15,14,14,16,17
12/01/2016,Lod,18,18,19,18,17,20,19,19,19
12/01/2016,Mizpe Ramon,17,16,16,17,16,16,15,16,16
12/01/2016,Nazareth,16,17,18,16,16,16,17,17,17
12/01/2016,Qazrin,16,18,18,16,16,16,15,17,17
12/01/2016,Tel Aviv,17,19,19,19,18,20,19,18,17
12/01/2016,Tiberias,18,18,19,17,16,17,17,17,17
12/01/2016,Zefat,11,17,17,15,15,14,15,17,17
13/01/2016,Afula,20,19,19,18,18,18,18,20,19
13/01/2016,Ashdod,19,17,17,17,17,17,17,20,20
13/01/2016,Beer Sheva,20,19,19,18,18,19,18,20,20
13/01/2016,Bet Shean,21,20,20,19,19,18,18,21,21
13/01/2016,Elat,22,22,22,22,21,20,20,21,21
13/01/2016,En Gedi,22,18,18,18,18,17,16,21,21
13/01/2016,Haifa,19,18,19,18,18,17,17,19,19
13/01/2016,Jerusalem,17,17,17,16,16,16,16,18,18
13/01/2016,Lod,20,18,19,17,17,19,18,19,19
13/01/2016,Mizpe Ramon,16,18,18,18,17,16,17,18,17
13/01/2016,Nazareth,19,19,19,16,16,17,16,17,17
13/01/2016,Qazrin,19,19,19,17,17,15,16,17,17
13/01/2016,Tel Aviv,20,19,19,18,18,18,17,17,16
13/01/2016,Tiberias,21,19,19,16,17,18,18,17,17
13/01/2016,Zefat,13,18,18,14,14,13,13,17,17
14/01/2016,Afula,21,18,19,16,16,15,17,19,20
14/01/2016,Ashdod,19,18,18,17,17,19,17,17,19
14/01/2016,Beer Sheva,22,18,18,16,17,18,18,18,18
14/01/2016,Bet Shean,22,20,20,16,17,18,18,22,22
14/01/2016,Elat,25,20,21,21,20,22,21,21,20
14/01/2016,En Gedi,22,20,20,18,17,18,18,22,22
14/01/2016,Haifa,20,17,17,16,16,16,17,16,16
14/01/2016,Jerusalem,19,16,16,14,15,13,13,15,15
14/01/2016,Lod,21,17,18,15,16,18,19,17,18
14/01/2016,Mizpe Ramon,19,17,17,16,17,15,16,16,16
14/01/2016,Nazareth,19,16,16,13,13,12,13,14,15
14/01/2016,Qazrin,20,15,15,12,12,11,12,13,14
14/01/2016,Tel Aviv,20,18,19,16,17,17,18,17,17
14/01/2016,Tiberias,21,15,16,13,13,15,16,14,15
14/01/2016,Zefat,16,14,14,11,12,10,11,13,14
15/01/2016,Afula,19,19,18,18,17,18,18,20,20
15/01/2016,Ashdod,19,17,17,18,18,18,18,19,19
15/01/2016,Beer Sheva,19,17,16,17,17,19,19,18,18
15/01/2016,Bet Shean,18,19,19,19,18,19,19,21,21
15/01/2016,Elat,24,19,18,20,19,21,21,19,20
15/01/2016,En Gedi,24,17,16,18,19,20,19,21,21
15/01/2016,Haifa,16,17,17,18,18,17,17,17,17
15/01/2016,Jerusalem,15,14,14,16,14,14,13,15,15
15/01/2016,Lod,19,17,17,18,18,19,20,18,18
15/01/2016,Mizpe Ramon,17,15,15,16,15,15,16,15,15
15/01/2016,Nazareth,15,17,16,15,15,16,16,17,17
15/01/2016,Qazrin,13,16,15,15,15,14,15,16,16
15/01/2016,Tel Aviv,18,18,18,19,19,19,19,17,18
15/01/2016,Tiberias,17,17,17,16,16,18,18,17,17
15/01/2016,Zefat,10,16,16,13,13,12,12,16,16
16/01/2016,Afula,20,19,19,18,18,18,18,21,21
16/01/2016,Ashdod,19,18,18,17,17,18,18,20,21
16/01/2016,Beer Sheva,19,20,20,18,18,19,19,20,20
16/01/2016,Bet Shean,21,20,20,20,20,20,20,22,22
16/01/2016,Elat,24,21,21,22,21,22,23,22,22
16/01/2016,En Gedi,23,19,19,20,21,21,21,22,22
16/01/2016,Haifa,18,19,18,18,18,17,17,19,19
16/01/2016,Jerusalem,14,17,17,15,15,14,13,16,16
16/01/2016,Lod,19,21,20,20,20,20,21,21,21
16/01/2016,Mizpe Ramon,15,17,17,17,17,15,15,17,17
16/01/2016,Nazareth,17,19,19,16,16,17,17,17,17
16/01/2016,Qazrin,17,20,19,18,17,16,16,17,17
16/01/2016,Tel Aviv,19,21,20,19,20,19,20,19,21
16/01/2016,Tiberias,21,20,20,18,18,19,19,17,17
16/01/2016,Zefat,12,18,18,15,14,13,13,17,17
17/01/2016,Afula,22,20,20,20,20,19,19,23,23
17/01/2016,Ashdod,19,18,18,18,18,19,18,23,21
17/01/2016,Beer Sheva,23,21,21,20,21,22,21,23,22
17/01/2016,Bet Shean,24,21,21,21,21,19,20,25,24
17/01/2016,Elat,24,21,21,21,21,21,21,22,22
17/01/2016,En Gedi,25,20,20,20,20,18,18,23,23
17/01/2016,Haifa,20,20,20,20,20,18,18,22,22
17/01/2016,Jerusalem,17,18,18,17,17,15,14,20,20
17/01/2016,Lod,22,21,21,19,19,21,21,21,20
17/01/2016,Mizpe Ramon,17,22,21,19,20,17,18,20,20
17/01/2016,Nazareth,18,20,20,17,18,17,17,19,19
17/01/2016,Qazrin,19,20,20,18,18,16,16,19,19
17/01/2016,Tel Aviv,20,20,20,20,20,19,19,21,20
17/01/2016,Tiberias,23,21,21,20,20,19,19,19,19
17/01/2016,Zefat,14,19,19,16,16,13,13,19,19
18/01/2016,Afula,22,16,16,15,15,17,17,17,17
18/01/2016,Ashdod,20,17,17,15,15,17,17,16,16
18/01/2016,Beer Sheva,25,14,14,14,14,15,16,15,15
18/01/2016,Bet Shean,23,17,17,17,17,19,19,18,18
18/01/2016,Elat,25,17,18,20,20,20,20,19,19
18/01/2016,En Gedi,24,17,18,19,19,20,21,20,20
18/01/2016,Haifa,21,15,15,15,15,15,15,15,15
18/01/2016,Jerusalem,19,12,12,12,12,10,11,12,11
18/01/2016,Lod,23,14,15,14,14,16,16,15,15
18/01/2016,Mizpe Ramon,21,13,13,11,12,12,12,12,12
18/01/2016,Nazareth,19,14,15,13,13,15,15,13,12
18/01/2016,Qazrin,20,14,15,13,13,13,13,13,12
18/01/2016,Tel Aviv,20,15,15,15,15,16,16,15,15
18/01/2016,Tiberias,24,16,16,15,15,18,18,13,12
18/01/2016,Zefat,15,14,14,11,11,10,10,13,12
19/01/2016,Afula,16,13,12,12,11,13,14,15,15
19/01/2016,Ashdod,17,15,15,15,15,17,17,13,13
19/01/2016,Beer Sheva,16,14,14,13,13,15,15,15,14
19/01/2016,Bet Shean,18,13,13,13,13,16,15,16,15
19/01/2016,Elat,22,15,15,16,16,17,17,17,16
19/01/2016,En Gedi,22,17,17,17,17,19,19,19,19
19/01/2016,Haifa,15,13,13,15,14,13,14,14,13
19/01/2016,Jerusalem,10,10,10,9,9,9,9,9,9
19/01/2016,Lod,15,12,12,12,11,14,14,12,12
19/01/2016,Mizpe Ramon,11,12,12,10,11,11,11,11,11
19/01/2016,Nazareth,13,12,13,11,10,12,13,12,11
19/01/2016,Qazrin,13,9,10,9,8,9,9,11,11
19/01/2016,Tel Aviv,16,14,14,13,13,14,15,12,12
19/01/2016,Tiberias,19,11,11,11,9,15,16,12,11
19/01/2016,Zefat,9,10,10,8,8,7,8,11,11
20/01/2016,Afula,13,15,14,14,15,17,16,17,17
20/01/2016,Ashdod,16,15,15,15,15,17,16,15,16
20/01/2016,Beer Sheva,14,14,14,15,15,16,17,16,15
20/01/2016,Bet Shean,13,15,15,16,16,18,18,18,17
20/01/2016,Elat,20,18,18,18,18,20,20,19,18
20/01/2016,En Gedi,20,15,15,18,17,18,18,18,18
20/01/2016,Haifa,13,14,14,15,16,15,15,15,15
20/01/2016,Jerusalem,8,11,11,12,11,12,10,14,12
20/01/2016,Lod,16,15,14,15,13,17,17,15,14
20/01/2016,Mizpe Ramon,11,13,14,14,14,13,13,13,13
20/01/2016,Nazareth,11,14,14,12,12,14,15,14,14
20/01/2016,Qazrin,9,13,12,12,12,12,13,13,13
20/01/2016,Tel Aviv,15,15,14,15,14,16,16,15,14
20/01/2016,Tiberias,14,14,13,14,13,17,17,14,14
20/01/2016,Zefat,6,13,12,9,11,10,10,13,13
21/01/2016,Afula,15,17,17,17,17,16,17,19,20
21/01/2016,Ashdod,16,16,16,15,16,17,17,15,17
21/01/2016,Beer Sheva,17,17,16,15,16,18,18,17,16
21/01/2016,Bet Shean,17,18,18,20,19,18,19,20,20
21/01/2016,Elat,22,19,18,19,19,18,19,18,18
21/01/2016,En Gedi,21,17,17,19,20,20,21,19,19
21/01/2016,Haifa,14,17,17,18,18,16,16,17,17
21/01/2016,Jerusalem,12,15,14,15,14,12,13,15,15
21/01/2016,Lod,19,17,17,17,18,19,19,16,16
21/01/2016,Mizpe Ramon,13,15,15,16,16,15,15,15,15
21/01/2016,Nazareth,12,17,17,16,16,15,16,15,15
21/01/2016,Qazrin,12,17,17,16,16,14,15,15,15
21/01/2016,Tel Aviv,16,17,17,18,18,18,19,16,16
21/01/2016,Tiberias,16,18,18,18,18,18,18,15,15
21/01/2016,Zefat,7,16,16,14,14,11,11,15,15
22/01/2016,Afula,18,17,17,17,17,16,17,18,18
22/01/2016,Ashdod,17,17,17,16,16,16,16,15,17
22/01/2016,Beer Sheva,20,16,16,16,15,17,16,16,16
22/01/2016,Bet Shean,20,18,18,18,18,18,18,19,20
22/01/2016,Elat,20,18,18,17,18,18,19,18,18
22/01/2016,En Gedi,21,16,17,17,17,16,16,19,19
22/01/2016,Haifa,17,16,16,17,17,16,16,16,16
22/01/2016,Jerusalem,15,14,14,14,14,12,14,14,14
22/01/2016,Lod,19,16,17,17,17,17,18,16,16
22/01/2016,Mizpe Ramon,14,13,13,13,14,14,14,14,15
22/01/2016,Nazareth,16,16,16,16,16,15,16,15,16
22/01/2016,Qazrin,16,16,16,14,15,15,15,16,15
22/01/2016,Tel Aviv,18,17,17,17,17,16,16,16,16
22/01/2016,Tiberias,21,17,17,16,16,16,17,15,16
22/01/2016,Zefat,11,16,16,14,14,12,13,16,15
23/01/2016,Afula,19,15,15,16,16,16,16,17,17
23/01/2016,Ashdod,18,16,16,16,16,17,17,15,16
23/01/2016,Beer Sheva,18,14,14,14,14,17,16,12,13
23/01/2016,Bet Shean,20,17,16,14,13,16,17,18,17
23/01/2016,Elat,21,17,17,18,18,19,19,18,17
23/01/2016,En Gedi,20,17,17,15,15,19,19,17,17
23/01/2016,Haifa,18,15,14,15,16,16,16,14,14
23/01/2016,Jerusalem,15,12,12,11,11,12,12,10,10
23/01/2016,Lod,18,15,14,14,15,18,18,14,14
23/01/2016,Mizpe Ramon,14,11,11,11,12,12,13,11,11
23/01/2016,Nazareth,16,14,14,12,13,14,14,14,14
23/01/2016,Qazrin,17,13,13,11,11,12,12,13,12
23/01/2016,Tel Aviv,18,16,15,16,17,18,17,14,14
23/01/2016,Tiberias,18,14,14,13,13,16,15,14,14
23/01/2016,Zefat,12,13,13,10,10,9,10,13,12
24/01/2016,Afula,16,12,12,13,13,12.67,12.67,13,13
24/01/2016,Ashdod,17,14,14,13,14,13.33,13.33,13,12
24/01/2016,Beer Sheva,14,11,10,11,10,10.33,9.67,9,9
24/01/2016,Bet Shean,15,13,13,14,16,13.33,14,13,13
24/01/2016,Elat,21,14,14,14,15,14.33,14.33,15,14
24/01/2016,En Gedi,21,15,14,14,14,14.67,14.33,15,15
24/01/2016,Haifa,16,11,11,13,12,11.67,11.33,11,11
24/01/2016,Jerusalem,10,8,8,7,7,7,7.33,6,7
24/01/2016,Lod,15,11,12,12,12,11,11.67,10,11
24/01/2016,Mizpe Ramon,11,9,8,9,8,8.67,8,8,8
24/01/2016,Nazareth,14,10,11,10,9,9.33,9.33,8,8
24/01/2016,Qazrin,13,10,10,8,7,8.67,8,8,7
24/01/2016,Tel Aviv,15,12,13,14,14,12,13,10,12
24/01/2016,Tiberias,17,11,11,13,12,10.67,10.33,8,8
24/01/2016,Zefat,10,9,10,8,7,8.33,8,8,7
25/01/2016,Afula,14,10,11,10,10,10,11,12,11
25/01/2016,Ashdod,15,11,11,11,12,13,13,11,11
25/01/2016,Beer Sheva,12,9,10,7,8,9,9,7,8
25/01/2016,Bet Shean,15,12,12,12,12,12,12,12,12
25/01/2016,Elat,18,13,12,15,15,15,16,13,13
25/01/2016,En Gedi,20,13,12,12,14,14,13,14,14
25/01/2016,Haifa,12,10,10,10,8,10,10,9,9
25/01/2016,Jerusalem,5,8,7,5,5,3,4,4,5
25/01/2016,Lod,14,11,10,10,9,9,10,9,9
25/01/2016,Mizpe Ramon,9,7,7,9,5,9,8,8,6
25/01/2016,Nazareth,10,9,9,8,8,9,9,7,6
25/01/2016,Qazrin,9,9,9,8,8,8,8,6,5
25/01/2016,Tel Aviv,14,11,11,11,10,11,11,11,10
25/01/2016,Tiberias,15,10,11,11,11,13,13,7,6
25/01/2016,Zefat,6,8,9,6,6,5,5,6,5
26/01/2016,Afula,11,11,10,11,10,10,11,11,11
26/01/2016,Ashdod,13,11,11,11,11,12,11,10,10
26/01/2016,Beer Sheva,7,9,9,6,8,7,8,7,7
26/01/2016,Bet Shean,12,11,10,10,10,11,11,13,11
26/01/2016,Elat,17,12,12,14,14,15,15,12,12
26/01/2016,En Gedi,16,13,12,13,11,12,12,12,12
26/01/2016,Haifa,10,10,9,9,9,10,10,9,9
26/01/2016,Jerusalem,4,7,7,4,6,5,4,6,4
26/01/2016,Lod,11,10,10,10,9,10,10,9,8
26/01/2016,Mizpe Ramon,8,6,6,8,6,6,6,7,6
26/01/2016,Nazareth,8,9,9,8,8,8,9,6,6
26/01/2016,Qazrin,8,8,9,8,7,6,7,6,6
26/01/2016,Tel Aviv,11,11,10,10,9,10,10,10,10
26/01/2016,Tiberias,14,10,10,10,9,11,12,6,6
26/01/2016,Zefat,3,8,9,6,7,2,4,6,6
27/01/2016,Afula,9,11,11,11,12,11,11,12,11
27/01/2016,Ashdod,12,12,11,11,11,12,12,11,11
27/01/2016,Beer Sheva,8,10,10,8,9,11,11,10,9
27/01/2016,Bet Shean,9,12,12,13,13,13,13,12,12
27/01/2016,Elat,17,12,11,14,14,15,14,12,11
27/01/2016,En Gedi,16,10,10,11,12,12,13,13,12
27/01/2016,Haifa,6,10,10,10,10,10,9,10,9
27/01/2016,Jerusalem,2,7,7,6,7,6,6,7,7
27/01/2016,Lod,10,11,11,11,11,11,12,10,10
27/01/2016,Mizpe Ramon,8,6,6,6,7,7,7,6,7
27/01/2016,Nazareth,6,7,9,9,9,11,10,8,8
27/01/2016,Qazrin,7,9,9,9,9,9,8,7,7
27/01/2016,Tel Aviv,9,12,11,12,12,11,12,11,11
27/01/2016,Tiberias,10,11,10,11,11,13,13,8,8
27/01/2016,Zefat,2,9,9,8,8,6,7,7,7
28/01/2016,Afula,13,11,11,11,11,11,11,12,11
28/01/2016,Ashdod,12,12,12,12,12,12,13,11,11
28/01/2016,Beer Sheva,11,11,11,10,10,11,12,10,10
28/01/2016,Bet Shean,14,12,12,12,12,13,13,13,12
28/01/2016,Elat,14,12,12,13,13,14,15,12,13
28/01/2016,En Gedi,14,11,11,13,12,13,13,13,13
28/01/2016,Haifa,11,11,11,10,10,10,10,10,10
28/01/2016,Jerusalem,6,8,8,7,8,6,7,8,8
28/01/2016,Lod,12,11,12,12,11,12,12,11,10
28/01/2016,Mizpe Ramon,7,7,7,8,8,8,8,8,8
28/01/2016,Nazareth,10,10,11,9,9,9,9,9,9
28/01/2016,Qazrin,10,9,10,8,9,8,8,8,8
28/01/2016,Tel Aviv,13,12,12,13,12,12,11,12,11
28/01/2016,Tiberias,14,11,11,10,10,12,12,9,9
28/01/2016,Zefat,4,9,10,7,8,6,6,8,8
29/01/2016,Afula,13,15,15,13,13,13,13,14,14
29/01/2016,Ashdod,13,13,14,13,13,14,14,14,13
29/01/2016,Beer Sheva,12,13,14,12,12,13,14,13,12
29/01/2016,Bet Shean,13,15,16,13,13,14,14,16,15
29/01/2016,Elat,16,14,14,15,15,15,16,14,13
29/01/2016,En Gedi,15,13,14,14,14,14,14,15,15
29/01/2016,Haifa,11,14,13,13,13,14,13,14,13
29/01/2016,Jerusalem,7,10,11,10,10,10,11,11,10
29/01/2016,Lod,12,12,13,14,14,14,14,13,13
29/01/2016,Mizpe Ramon,7,9,10,9,10,10,9,10,10
29/01/2016,Nazareth,10,14,14,11,12,11,11,12,13
29/01/2016,Qazrin,9,12,12,10,10,10,10,11,11
29/01/2016,Tel Aviv,12,13,14,14,14,13,14,14,13
29/01/2016,Tiberias,13,13,14,12,11,13,13,12,13
29/01/2016,Zefat,6,12,13,10,11,8,8,11,11
30/01/2016,Afula,16,16,16,15,15,15,16,16,16
30/01/2016,Ashdod,14,15,15,14,14,15,15,15,15
30/01/2016,Beer Sheva,13,15,15,14,14,15,15,15,15
30/01/2016,Bet Shean,16,17,17,16,15,16,16,18,17
30/01/2016,Elat,18,17,17,17,17,18,18,17,16
30/01/2016,En Gedi,17,15,15,17,15,15,14,17,17
30/01/2016,Haifa,14,15,15,15,15,14,16,15,15
30/01/2016,Jerusalem,9,13,13,12,13,11,12,13,13
30/01/2016,Lod,14,16,16,16,16,16,16,16,16
30/01/2016,Mizpe Ramon,8,12,12,13,13,11,13,12,12
30/01/2016,Nazareth,13,15,15,13,13,13,14,14,15
30/01/2016,Qazrin,12,15,14,13,13,13,12,13,13
30/01/2016,Tel Aviv,14,16,16,16,16,15,15,15,15
30/01/2016,Tiberias,15,15,15,14,14,15,15,14,15
30/01/2016,Zefat,9,14,14,12,12,10,11,13,13
31/01/2016,Afula,17,16,17,16,17,16,17,18,18
31/01/2016,Ashdod,16,16,16,15,15,16,15,14,14
31/01/2016,Beer Sheva,17,16,16,15,15,16,16,16,15
31/01/2016,Bet Shean,17,18,18,17,17,17,17,20,19
31/01/2016,Elat,21,18,18,18,18,18,18,18,18
31/01/2016,En Gedi,18,16,16,16,17,15,15,18,19
