,Validity_date,City,Persist_value_humidity,EC_humidity_1,EC_humidity_2,C3_humidity_1,C3_humidity_2,Persist_value_maxTemp,EC_maxTemp_1,EC_maxTemp_2,CO_maxTemp_1,CO_maxTemp_2,C3_maxTemp_1,C3_maxTemp_2,OH_maxTemp_1,OH_maxTemp_2,Persist_value_minTemp,EC_minTemp_1,EC_minTemp_2,CO_minTemp_1,CO_minTemp_2,C3_minTemp_1,C3_minTemp_2,OH_minTemp_1,OH_minTemp_2,Persist_value_wind,EC_wind_1,EC_wind_2,CO_wind_1,CO_wind_2,C3_wind_1,C3_wind_2,OH_wind_1,OH_wind_2
48,2016-01-05,Bet Shean,80,43.0,44,44.0,42,16,19.0,19,18.0,17.0,18.0,18.0,20.0,21.0,6.0,10.0,11.0,11.0,11.0,9.0,11.0,14.0,12.0,13,7.0,7,9.0,5.0,12.0,12.0,13.0,13.0
49,2016-01-05,Elat,34,27.0,27,32.0,32,22,20.0,20,20.0,20.0,20.0,20.0,19.0,19.0,10.0,9.0,9.0,11.0,11.0,10.0,11.0,9.0,10.0,5,4.0,4,4.0,5.0,5.0,5.0,4.0,2.0
50,2016-01-05,En Gedi,41,53.0,52,41.0,41,22,18.0,18,19.0,19.0,19.0,19.0,21.0,20.0,16.0,9.0,9.0,14.0,14.0,15.0,15.0,14.0,14.0,8,7.0,8,6.0,9.0,10.0,9.0,10.0,10.0
51,2016-01-05,Haifa,71,59.0,61,68.0,69,15,17.0,16,15.0,15.0,15.0,16.0,16.0,16.0,9.0,12.0,12.0,11.0,12.0,12.0,11.0,13.0,13.0,13,12.0,12,18.0,18.0,16.0,16.0,20.0,19.0
52,2016-01-05,Jerusalem,77,50.0,50,42.0,43,12,15.0,15,14.0,14.0,13.0,13.0,14.0,14.0,7.0,7.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,8,8.0,9,10.0,10.0,12.0,14.0,10.0,10.0
53,2016-01-05,Lod,62,43.0,43,37.0,37,18,17.0,17,16.0,16.0,18.0,18.0,17.0,17.0,10.0,10.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,10,9.0,9,9.0,9.0,11.0,11.0,10.0,10.0
54,2016-01-05,Mizpe Ramon,49,36.0,36,36.0,36,15,14.0,16,15.0,15.0,15.0,15.0,15.0,15.0,7.0,5.0,6.0,9.0,8.0,8.0,8.0,8.0,8.0,7,8.0,7,6.0,6.0,9.0,9.0,6.0,7.0
55,2016-01-05,Nazareth,87,65.0,65,72.0,65,12,16.0,16,15.0,14.0,12.0,14.0,15.0,15.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,12,8.0,9,7.0,6.0,8.0,9.0,12.0,12.0
56,2016-01-05,Qazrin,73,50.0,57,73.0,69,14,16.0,16,13.0,12.0,12.0,12.0,15.0,15.0,6.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,10,10.0,11,4.0,4.0,4.0,5.0,11.0,13.0
57,2016-01-05,Tel Aviv,62,50.0,50,47.0,50,17,18.0,18,17.0,17.0,18.0,17.0,17.0,17.0,11.0,11.0,11.0,10.0,9.0,10.0,10.0,11.0,11.0,9,10.0,11,9.0,10.0,8.0,9.0,11.0,11.0
58,2016-01-05,Tiberias,61,53.0,55,66.0,66,18,17.0,17,15.0,14.0,16.0,17.0,15.0,15.0,10.0,10.0,10.0,11.0,12.0,14.0,11.0,10.0,9.0,5,5.0,6,3.0,4.0,6.0,6.0,11.0,11.0
59,2016-01-05,Zefat,99,58.0,59,80.0,77,8,15.0,15,12.0,12.0,9.0,10.0,15.0,15.0,4.0,8.0,8.0,8.0,8.0,5.0,6.0,9.0,9.0,17,6.0,7,5.0,5.0,8.0,9.0,11.0,11.0
60,2016-01-06,Afula,56,46.0,42,46.0,45,20,20.0,20,18.0,18.0,18.0,18.0,20.0,20.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,12.0,12.0,13,3.0,3,3.0,3.0,8.0,8.0,4.0,7.0
61,2016-01-06,Ashdod,56,50.0,50,51.0,50,19,19.0,19,18.0,18.0,19.0,19.0,19.0,18.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,14.0,17,13.0,13,13.0,12.0,10.0,10.0,12.0,12.0
62,2016-01-06,Beer Sheva,36,39.0,38,25.0,25,19,19.0,19,19.0,19.0,19.0,19.0,20.0,20.0,7.0,9.0,9.0,10.0,11.0,12.0,12.0,10.0,10.0,10,5.0,4,6.0,5.0,7.0,7.0,4.0,4.0
63,2016-01-06,Bet Shean,43,44.0,42,45.0,47,21,20.0,21,19.0,19.0,18.0,18.0,22.0,22.0,12.0,10.0,10.0,10.0,11.0,10.0,10.0,12.0,14.0,18,4.0,3,3.0,2.0,4.0,3.0,5.0,7.0
64,2016-01-06,Elat,27,22.0,22,22.0,24,24,22.0,22,22.0,22.0,23.0,22.0,21.0,21.0,11.0,10.0,10.0,12.0,13.0,11.0,12.0,10.0,15.0,5,6.0,7,9.0,9.0,10.0,11.0,9.0,7.0
65,2016-01-06,En Gedi,27,46.0,47,43.0,38,25,19.0,19,19.0,19.0,19.0,19.0,22.0,22.0,14.0,10.0,10.0,15.0,14.0,13.0,13.0,15.0,15.0,14,5.0,5,3.0,3.0,10.0,10.0,5.0,4.0
66,2016-01-06,Haifa,63,57.0,59,52.0,51,17,18.0,18,18.0,18.0,18.0,19.0,19.0,18.0,13.0,12.0,12.0,11.0,12.0,13.0,12.0,13.0,13.0,12,8.0,8,9.0,8.0,10.0,10.0,12.0,12.0
67,2016-01-06,Jerusalem,50,46.0,44,33.0,43,14,17.0,17,15.0,16.0,16.0,14.0,18.0,17.0,9.0,8.0,8.0,10.0,10.0,8.0,9.0,11.0,11.0,11,5.0,5,3.0,3.0,7.0,5.0,4.0,4.0
68,2016-01-06,Lod,44,41.0,39,33.0,30,20,19.0,19,18.0,18.0,20.0,20.0,20.0,20.0,12.0,11.0,11.0,13.0,13.0,12.0,12.0,11.0,12.0,9,6.0,6,5.0,5.0,7.0,7.0,5.0,5.0
69,2016-01-06,Mizpe Ramon,36,30.0,30,30.0,31,17,16.0,18,17.0,17.0,16.0,16.0,18.0,18.0,9.0,7.0,7.0,10.0,10.0,10.0,10.0,9.0,10.0,7,4.0,5,3.0,3.0,8.0,6.0,3.0,3.0
70,2016-01-06,Nazareth,70,57.0,58,49.0,49,16,17.0,18,15.0,15.0,16.0,15.0,17.0,17.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,12,4.0,5,4.0,3.0,8.0,9.0,7.0,7.0
71,2016-01-06,Qazrin,65,52.0,54,61.0,63,15,17.0,17,15.0,15.0,15.0,14.0,16.0,16.0,10.0,7.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,10,8.0,8,4.0,4.0,9.0,9.0,5.0,9.0
72,2016-01-06,Tel Aviv,49,44.0,45,44.0,43,19,20.0,20,19.0,19.0,19.0,19.0,18.0,18.0,13.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,12.0,12,7.0,6,5.0,5.0,5.0,6.0,5.0,6.0
73,2016-01-06,Tiberias,60,51.0,52,50.0,55,20,18.0,18,16.0,17.0,18.0,18.0,17.0,17.0,13.0,10.0,10.0,11.0,12.0,11.0,11.0,10.0,11.0,6,3.0,3,3.0,3.0,5.0,4.0,4.0,3.0
74,2016-01-06,Zefat,95,54.0,55,58.0,59,10,17.0,17,14.0,14.0,12.0,12.0,16.0,16.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,22,3.0,3,2.0,4.0,5.0,5.0,4.0,3.0
75,2016-01-07,Afula,49,50.0,48,41.0,40,21,20.0,19,17.0,17.0,18.0,18.0,19.0,19.0,6.0,8.0,9.0,12.0,11.0,9.0,10.0,11.0,12.0,10,5.0,5,5.0,5.0,10.0,10.0,7.0,16.0
76,2016-01-07,Ashdod,52,62.0,58,51.0,52,20,20.0,20,19.0,19.0,20.0,19.0,21.0,21.0,13.0,15.0,15.0,14.0,14.0,15.0,14.0,15.0,12.0,13,22.0,20,14.0,11.0,13.0,10.0,25.0,26.0
77,2016-01-07,Beer Sheva,30,39.0,43,17.0,18,22,21.0,20,21.0,21.0,22.0,22.0,22.0,22.0,6.0,11.0,10.0,12.0,12.0,12.0,13.0,11.0,11.0,4,7.0,7,9.0,9.0,11.0,11.0,10.0,10.0
78,2016-01-07,Bet Shean,39,47.0,47,43.0,41,22,21.0,20,18.0,18.0,18.0,18.0,21.0,21.0,8.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,12.0,10,3.0,3,2.0,2.0,5.0,6.0,11.0,16.0
79,2016-01-07,Elat,21,30.0,28,30.0,24,26,23.0,22,22.0,22.0,22.0,22.0,23.0,23.0,11.0,10.0,9.0,14.0,14.0,11.0,14.0,13.0,12.0,6,9.0,8,10.0,10.0,17.0,10.0,13.0,13.0
80,2016-01-07,En Gedi,32,51.0,51,47.0,42,23,20.0,20,18.0,18.0,19.0,18.0,22.0,22.0,13.0,15.0,16.0,14.0,13.0,13.0,14.0,14.0,15.0,9,5.0,5,3.0,3.0,6.0,3.0,19.0,22.0
81,2016-01-07,Haifa,57,58.0,57,41.0,44,19,19.0,18,17.0,17.0,17.0,17.0,19.0,18.0,14.0,13.0,13.0,12.0,12.0,12.0,12.0,13.0,14.0,8,10.0,10,12.0,9.0,14.0,15.0,15.0,17.0
82,2016-01-07,Jerusalem,39,44.0,46,31.0,34,18,19.0,18,16.0,16.0,17.0,16.0,19.0,19.0,10.0,9.0,9.0,11.0,10.0,10.0,11.0,11.0,12.0,7,10.0,8,7.0,4.0,14.0,11.0,18.0,21.0
83,2016-01-07,Lod,36,41.0,40,26.0,25,22,21.0,21,19.0,19.0,21.0,21.0,21.0,21.0,10.0,11.0,10.0,14.0,14.0,13.0,14.0,13.0,11.0,6,10.0,8,7.0,5.0,7.0,8.0,9.0,11.0
84,2016-01-07,Mizpe Ramon,31,20.0,30,17.0,19,18,22.0,22,21.0,20.0,20.0,19.0,20.0,20.0,10.0,9.0,9.0,11.0,11.0,11.0,11.0,11.0,12.0,7,14.0,12,10.0,9.0,16.0,15.0,17.0,18.0
85,2016-01-07,Nazareth,51,47.0,47,45.0,45,19,19.0,19,15.0,15.0,16.0,16.0,16.0,16.0,11.0,11.0,11.0,12.0,11.0,12.0,12.0,11.0,13.0,9,7.0,7,7.0,6.0,15.0,15.0,9.0,8.0
86,2016-01-07,Qazrin,46,46.0,46,45.0,44,19,20.0,19,18.0,18.0,17.0,16.0,17.0,17.0,8.0,8.0,8.0,11.0,11.0,11.0,10.0,11.0,11.0,9,7.0,7,8.0,7.0,15.0,17.0,7.0,6.0
87,2016-01-07,Tel Aviv,43,49.0,46,36.0,46,21,21.0,21,19.0,19.0,20.0,19.0,19.0,21.0,13.0,10.0,11.0,12.0,12.0,12.0,12.0,11.0,13.0,8,8.0,6,7.0,6.0,7.0,6.0,11.0,16.0
88,2016-01-07,Tiberias,52,47.0,46,51.0,46,21,20.0,19,17.0,17.0,19.0,19.0,16.0,16.0,11.0,11.0,11.0,12.0,12.0,13.0,13.0,11.0,11.0,7,4.0,4,2.0,2.0,10.0,10.0,7.0,6.0
89,2016-01-07,Zefat,67,45.0,45,53.0,53,14,18.0,18,14.0,14.0,13.0,12.0,17.0,17.0,7.0,8.0,7.0,9.0,9.0,9.0,9.0,11.0,11.0,17,6.0,5,3.0,3.0,12.0,12.0,7.0,6.0
90,2016-01-08,Afula,62,89.0,92,84.0,78,18,15.0,14,15.0,17.0,16.0,15.0,17.0,17.0,6.0,12.0,12.0,12.0,11.0,12.0,12.0,13.0,13.0,13,11.0,12,12.0,14.0,11.0,9.0,17.0,19.0
91,2016-01-08,Ashdod,61,77.0,83,77.0,75,21,17.0,17,17.0,17.0,18.0,18.0,16.0,17.0,12.0,16.0,15.0,15.0,16.0,14.0,15.0,15.0,15.0,20,28.0,27,27.0,28.0,26.0,26.0,25.0,27.0
92,2016-01-08,Beer Sheva,30,62.0,56,49.0,51,23,15.0,16,14.0,15.0,17.0,16.0,16.0,16.0,9.0,11.0,11.0,11.0,10.0,11.0,12.0,12.0,13.0,8,14.0,16,15.0,15.0,17.0,16.0,19.0,19.0
93,2016-01-08,Bet Shean,61,87.0,82,65.0,61,18,15.0,15,17.0,17.0,18.0,17.0,18.0,18.0,8.0,12.0,12.0,13.0,13.0,13.0,13.0,16.0,16.0,6,7.0,9,11.0,11.0,17.0,18.0,19.0,19.0
94,2016-01-08,Elat,33,38.0,36,33.0,37,25,18.0,18,21.0,21.0,21.0,20.0,20.0,20.0,12.0,12.0,12.0,14.0,14.0,13.0,13.0,14.0,14.0,9,6.0,7,8.0,8.0,8.0,6.0,12.0,11.0
95,2016-01-08,En Gedi,44,60.0,61,43.0,45,22,18.0,18,19.0,20.0,21.0,21.0,21.0,21.0,15.0,12.0,12.0,16.0,16.0,14.0,14.0,17.0,18.0,8,10.0,11,11.0,12.0,17.0,13.0,29.0,19.0
96,2016-01-08,Haifa,47,80.0,82,83.0,96,18,15.0,15,17.0,17.0,15.0,16.0,16.0,16.0,13.0,12.0,12.0,14.0,14.0,11.0,12.0,14.0,14.0,10,15.0,16,28.0,28.0,20.0,23.0,21.0,24.0
97,2016-01-08,Jerusalem,42,81.0,81,69.0,84,18,12.0,12,11.0,12.0,11.0,10.0,11.0,10.0,12.0,9.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0,14,15.0,15,20.0,20.0,27.0,27.0,25.0,26.0
98,2016-01-08,Lod,40,83.0,89,70.0,78,22,15.0,15,14.0,14.0,17.0,16.0,14.0,14.0,10.0,12.0,12.0,11.0,11.0,14.0,13.0,14.0,13.0,8,15.0,14,13.0,13.0,18.0,17.0,15.0,15.0
99,2016-01-08,Mizpe Ramon,19,49.0,51,53.0,45,21,15.0,15,14.0,13.0,13.0,14.0,14.0,14.0,10.0,10.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,15,17.0,17,15.0,14.0,20.0,20.0,19.0,19.0
100,2016-01-08,Nazareth,49,92.0,91,57.0,82,16,12.0,13,14.0,15.0,15.0,15.0,13.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15,11.0,11,17.0,17.0,17.0,16.0,16.0,17.0
101,2016-01-08,Qazrin,55,92.0,87,89.0,90,18,12.0,12,11.0,11.0,10.0,11.0,12.0,12.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,15,15.0,16,12.0,14.0,15.0,17.0,12.0,19.0
102,2016-01-08,Tel Aviv,44,87.0,86,77.0,83,21,16.0,16,15.0,16.0,16.0,16.0,16.0,17.0,12.0,13.0,13.0,13.0,13.0,15.0,12.0,13.0,13.0,7,18.0,16,16.0,16.0,16.0,16.0,15.0,14.0
