Validity_date,City,Persist_value_humidity,EC_humidity_1,EC_humidity_2,C3_humidity_1,C3_humidity_2
09/01/2016,Nazareth,98,57,61,40,40
09/01/2016,Qazrin,97,71,65,67,67
09/01/2016,Tel Aviv,71,53,52,43,40
09/01/2016,Tiberias,87,66,75,63,62
09/01/2016,Zefat,95,61,68,51,50
10/01/2016,Afula,55,58,51,53,53
10/01/2016,Ashdod,61,61,66,66,69
10/01/2016,Beer Sheva,47,51,51,44,43
10/01/2016,Bet Shean,58,54,54,50,49
10/01/2016,Elat,31,31,28,29,28
10/01/2016,En Gedi,28,63,64,56,51
10/01/2016,Haifa,59,54,60,58,58
10/01/2016,Jerusalem,70,56,57,56,55
10/01/2016,Lod,55,50,51,42,44
10/01/2016,Mizpe Ramon,59,45,46,43,43
10/01/2016,Nazareth,58,68,63,54,56
10/01/2016,Qazrin,67,60,62,66,66
10/01/2016,Tel Aviv,58,53,53,61,62
10/01/2016,Tiberias,59,61,59,62,59
10/01/2016,Zefat,70,64,60,61,64
11/01/2016,Afula,64,43,45,45,46
11/01/2016,Ashdod,59,72,74,64,68
11/01/2016,Beer Sheva,41,58,58,34,32
11/01/2016,Bet Shean,58,45,47,42,42
11/01/2016,Elat,31,31,29,37,36
11/01/2016,En Gedi,49,65,64,51,48
11/01/2016,Haifa,71,51,57,45,51
11/01/2016,Jerusalem,60,55,55,44,42
11/01/2016,Lod,45,58,55,60,55
11/01/2016,Mizpe Ramon,52,40,38,33,33
11/01/2016,Nazareth,62,52,51,42,48
11/01/2016,Qazrin,68,47,53,43,52
11/01/2016,Tel Aviv,57,59,61,66,64
11/01/2016,Tiberias,61,50,49,49,52
11/01/2016,Zefat,80,46,47,46,52
12/01/2016,Afula,55,47,46,41,37
12/01/2016,Ashdod,82,75,75,48,69
12/01/2016,Beer Sheva,52,57,57,29,42
12/01/2016,Bet Shean,58,47,46,38,42
12/01/2016,Elat,38,39,38,28,42
12/01/2016,En Gedi,46,65,62,44,53
12/01/2016,Haifa,59,59,64,44,40
12/01/2016,Jerusalem,62,61,60,27,42
12/01/2016,Lod,67,55,54,30,41
12/01/2016,Mizpe Ramon,36,49,46,29,45
12/01/2016,Nazareth,58,61,58,41,38
12/01/2016,Qazrin,60,48,53,46,51
12/01/2016,Tel Aviv,77,57,58,34,46
12/01/2016,Tiberias,59,53,51,57,49
12/01/2016,Zefat,70,53,52,42,47
13/01/2016,Afula,46,49,49,41,44
13/01/2016,Ashdod,64,80,82,70,62
13/01/2016,Beer Sheva,52,52,54,36,28
13/01/2016,Bet Shean,51,54,53,45,41
13/01/2016,Elat,40,27,28,32,27
13/01/2016,En Gedi,44,66,66,57,48
13/01/2016,Haifa,43,61,55,41,41
13/01/2016,Jerusalem,50,53,54,36,34
13/01/2016,Lod,44,61,60,39,41
13/01/2016,Mizpe Ramon,42,35,37,33,25
13/01/2016,Nazareth,44,51,52,41,43
13/01/2016,Qazrin,50,48,48,41,42
13/01/2016,Tel Aviv,45,62,66,50,63
13/01/2016,Tiberias,53,43,44,57,47
13/01/2016,Zefat,58,47,48,44,45
14/01/2016,Afula,49,73,65,63,59
14/01/2016,Ashdod,83,78,77,82,81
14/01/2016,Beer Sheva,37,67,69,50,53
14/01/2016,Bet Shean,53,72,62,51,47
14/01/2016,Elat,31,33,31,32,30
14/01/2016,En Gedi,46,47,48,54,47
14/01/2016,Haifa,49,72,74,87,76
14/01/2016,Jerusalem,42,65,62,66,63
14/01/2016,Lod,63,82,80,59,59
14/01/2016,Mizpe Ramon,35,43,42,52,49
14/01/2016,Nazareth,43,75,77,69,73
14/01/2016,Qazrin,37,77,79,76,79
14/01/2016,Tel Aviv,72,76,77,76,73
14/01/2016,Tiberias,65,76,78,65,67
14/01/2016,Zefat,47,84,81,96,86
15/01/2016,Afula,75,44,48,57,56
15/01/2016,Ashdod,90,54,55,65,74
15/01/2016,Beer Sheva,55,53,55,34,44
15/01/2016,Bet Shean,66,42,49,55,50
15/01/2016,Elat,30,43,44,39,36
15/01/2016,En Gedi,46,75,76,46,48
15/01/2016,Haifa,93,54,56,52,54
15/01/2016,Jerusalem,65,58,64,59,59
15/01/2016,Lod,70,52,54,34,34
15/01/2016,Mizpe Ramon,40,53,49,49,45
15/01/2016,Nazareth,90,48,55,56,61
15/01/2016,Qazrin,86,56,57,68,56
15/01/2016,Tel Aviv,79,47,51,53,59
15/01/2016,Tiberias,72,54,57,64,62
15/01/2016,Zefat,99,50,53,67,73
16/01/2016,Afula,41,51,51,46,46
16/01/2016,Ashdod,64,65,64,74,73
16/01/2016,Beer Sheva,43,46,45,40,43
16/01/2016,Bet Shean,50,48,55,43,44
16/01/2016,Elat,35,37,34,34,33
16/01/2016,En Gedi,41,55,56,35,37
16/01/2016,Haifa,53,48,47,50,50
16/01/2016,Jerusalem,69,49,49,50,52
16/01/2016,Lod,51,42,42,38,41
16/01/2016,Mizpe Ramon,57,43,42,47,49
16/01/2016,Nazareth,52,44,46,43,44
16/01/2016,Qazrin,52,48,48,49,49
16/01/2016,Tel Aviv,51,49,45,47,50
16/01/2016,Tiberias,47,47,40,69,46
16/01/2016,Zefat,71,44,42,48,52
17/01/2016,Afula,40,46,47,41,40
17/01/2016,Ashdod,63,65,67,59,62
17/01/2016,Beer Sheva,33,42,41,30,30
17/01/2016,Bet Shean,41,45,52,41,39
17/01/2016,Elat,34,40,39,49,45
17/01/2016,En Gedi,37,57,58,51,52
17/01/2016,Haifa,44,48,48,48,47
17/01/2016,Jerusalem,47,52,53,45,49
17/01/2016,Lod,50,53,53,37,40
17/01/2016,Mizpe Ramon,41,28,29,39,39
17/01/2016,Nazareth,45,45,49,46,46
17/01/2016,Qazrin,43,53,53,47,47
17/01/2016,Tel Aviv,52,59,60,50,54
17/01/2016,Tiberias,47,43,45,47,46
17/01/2016,Zefat,58,45,46,55,55
18/01/2016,Afula,41,39,38,33,33
18/01/2016,Ashdod,66,46,44,55,51
18/01/2016,Beer Sheva,25,32,32,21,22
18/01/2016,Bet Shean,45,33,37,28,26
18/01/2016,Elat,37,17,15,10,18
18/01/2016,En Gedi,41,26,26,18,18
18/01/2016,Haifa,43,51,51,45,42
18/01/2016,Jerusalem,41,34,34,28,30
18/01/2016,Lod,55,40,39,37,37
18/01/2016,Mizpe Ramon,31,21,22,20,23
18/01/2016,Nazareth,43,47,54,34,32
18/01/2016,Qazrin,43,42,48,33,35
18/01/2016,Tel Aviv,65,46,44,46,43
18/01/2016,Tiberias,41,42,42,33,32
18/01/2016,Zefat,54,48,47,41,45
19/01/2016,Afula,48,81,89,78,81
19/01/2016,Ashdod,58,70,71,68,66
19/01/2016,Beer Sheva,23,51,49,39,41
19/01/2016,Bet Shean,39,78,78,49,73
19/01/2016,Elat,27,30,30,40,36
19/01/2016,En Gedi,14,41,41,35,36
19/01/2016,Haifa,58,77,85,62,65
19/01/2016,Jerusalem,41,74,72,56,61
19/01/2016,Lod,42,79,82,60,62
19/01/2016,Mizpe Ramon,18,41,40,45,45
19/01/2016,Nazareth,57,83,89,76,58
19/01/2016,Qazrin,51,94,94,92,88
19/01/2016,Tel Aviv,46,79,81,71,71
19/01/2016,Tiberias,41,85,89,81,78
19/01/2016,Zefat,66,86,89,89,74
20/01/2016,Afula,90,49,58,50,44
20/01/2016,Ashdod,75,72,73,63,65
20/01/2016,Beer Sheva,39,59,58,33,34
20/01/2016,Bet Shean,90,57,66,38,38
20/01/2016,Elat,31,30,31,26,26
20/01/2016,En Gedi,27,71,67,42,38
20/01/2016,Haifa,69,56,64,51,56
20/01/2016,Jerusalem,67,72,72,40,50
20/01/2016,Lod,58,59,75,43,41
20/01/2016,Mizpe Ramon,40,49,42,42,38
20/01/2016,Nazareth,94,49,70,54,39
20/01/2016,Qazrin,98,57,72,64,60
20/01/2016,Tel Aviv,70,58,78,57,59
20/01/2016,Tiberias,91,57,68,55,55
20/01/2016,Zefat,97,54,72,66,67
21/01/2016,Afula,78,47,43,45,43
21/01/2016,Ashdod,81,69,64,58,64
21/01/2016,Beer Sheva,49,50,52,30,29
21/01/2016,Bet Shean,59,45,44,40,41
21/01/2016,Elat,27,34,35,33,31
21/01/2016,En Gedi,47,60,60,28,26
21/01/2016,Haifa,73,47,50,44,45
21/01/2016,Jerusalem,73,51,51,39,37
21/01/2016,Lod,54,54,56,34,33
21/01/2016,Mizpe Ramon,44,41,41,32,32
21/01/2016,Nazareth,88,44,44,39,41
21/01/2016,Qazrin,89,44,42,44,44
21/01/2016,Tel Aviv,76,57,58,46,37
21/01/2016,Tiberias,72,41,38,39,46
21/01/2016,Zefat,96,41,40,47,48
22/01/2016,Afula,44,41,42,42,41
22/01/2016,Ashdod,79,75,75,77,83
22/01/2016,Beer Sheva,29,56,57,49,53
22/01/2016,Bet Shean,50,39,38,39,39
22/01/2016,Elat,39,38,39,30,30
22/01/2016,En Gedi,34,68,67,48,46
22/01/2016,Haifa,47,69,67,43,43
22/01/2016,Jerusalem,35,61,56,45,44
22/01/2016,Lod,57,59,58,52,60
22/01/2016,Mizpe Ramon,41,45,48,49,45
22/01/2016,Nazareth,45,59,58,45,45
22/01/2016,Qazrin,49,48,47,43,42
22/01/2016,Tel Aviv,63,68,68,66,69
22/01/2016,Tiberias,37,46,44,50,49
22/01/2016,Zefat,61,50,49,51,49
23/01/2016,Afula,44,70,77,62,60
23/01/2016,Ashdod,80,71,75,65,54
23/01/2016,Beer Sheva,48,80,88,39,42
23/01/2016,Bet Shean,51,65,78,56,58
23/01/2016,Elat,35,40,39,42,41
23/01/2016,En Gedi,37,61,62,34,34
23/01/2016,Haifa,41,75,84,58,67
23/01/2016,Jerusalem,47,85,83,61,54
23/01/2016,Lod,58,73,85,39,35
23/01/2016,Mizpe Ramon,40,63,58,46,46
23/01/2016,Nazareth,45,82,88,63,69
23/01/2016,Qazrin,53,83,77,71,76
23/01/2016,Tel Aviv,74,69,73,44,44
23/01/2016,Tiberias,50,77,73,64,71
23/01/2016,Zefat,51,81,81,80,80
24/01/2016,Afula,71,64,65,64,65
24/01/2016,Ashdod,88,71,75,71,75
24/01/2016,Beer Sheva,71,65,72,65,72
24/01/2016,Bet Shean,87,57,67,57,67
24/01/2016,Elat,42,39,39,39,39
24/01/2016,En Gedi,42,51,55,51,55
24/01/2016,Haifa,67,59,60,59,60
24/01/2016,Jerusalem,93,83,83,83,83
24/01/2016,Lod,86,67,76,67,76
24/01/2016,Mizpe Ramon,80,53,60,53,60
24/01/2016,Nazareth,70,67,59,67,59
24/01/2016,Qazrin,83,77,88,77,88
24/01/2016,Tel Aviv,84,61,67,61,67
24/01/2016,Tiberias,73,58,62,58,62
24/01/2016,Zefat,90,61,62,61,62
25/01/2016,Afula,76,60,53,39,33
25/01/2016,Ashdod,81,76,67,55,62
25/01/2016,Beer Sheva,57,81,75,64,58
25/01/2016,Bet Shean,61,66,48,43,27
25/01/2016,Elat,43,33,34,26,22
25/01/2016,En Gedi,43,60,66,48,44
25/01/2016,Haifa,59,61,51,43,42
25/01/2016,Jerusalem,93,82,77,85,79
25/01/2016,Lod,70,66,62,56,50
25/01/2016,Mizpe Ramon,62,54,62,34,43
25/01/2016,Nazareth,70,56,49,32,31
25/01/2016,Qazrin,87,55,52,33,32
25/01/2016,Tel Aviv,66,64,63,47,43
25/01/2016,Tiberias,65,50,46,29,26
25/01/2016,Zefat,94,53,46,38,36
26/01/2016,Afula,63,68,65,52,51
26/01/2016,Ashdod,75,76,73,68,76
26/01/2016,Beer Sheva,94,75,79,78,70
26/01/2016,Bet Shean,88,75,72,50,56
26/01/2016,Elat,40,35,35,33,32
26/01/2016,En Gedi,47,53,55,52,50
26/01/2016,Haifa,58,68,59,54,59
26/01/2016,Jerusalem,96,81,77,77,86
26/01/2016,Lod,66,75,72,66,80
26/01/2016,Mizpe Ramon,60,63,58,57,47
26/01/2016,Nazareth,59,72,50,56,55
26/01/2016,Qazrin,57,69,67,72,65
26/01/2016,Tel Aviv,71,73,60,70,73
26/01/2016,Tiberias,44,64,55,58,50
26/01/2016,Zefat,75,75,58,81,65
27/01/2016,Afula,74,43,41,34,37
27/01/2016,Ashdod,91,69,68,71,62
27/01/2016,Beer Sheva,80,70,70,58,51
27/01/2016,Bet Shean,79,48,45,32,34
27/01/2016,Elat,34,37,40,30,36
27/01/2016,En Gedi,49,75,75,66,58
27/01/2016,Haifa,89,50,52,36,39
27/01/2016,Jerusalem,98,61,54,65,57
27/01/2016,Lod,81,54,52,41,55
27/01/2016,Mizpe Ramon,59,60,58,62,49
27/01/2016,Nazareth,83,53,59,32,34
27/01/2016,Qazrin,73,40,40,31,42
27/01/2016,Tel Aviv,88,51,48,42,55
27/01/2016,Tiberias,70,37,42,33,28
27/01/2016,Zefat,83,43,49,39,35
28/01/2016,Afula,40,31,34,27,34
28/01/2016,Ashdod,81,44,48,44,48
28/01/2016,Beer Sheva,65,33,40,28,28
28/01/2016,Bet Shean,44,37,33,31,31
28/01/2016,Elat,46,37,35,21,26
28/01/2016,En Gedi,57,52,60,33,44
28/01/2016,Haifa,45,44,48,27,29
28/01/2016,Jerusalem,93,42,46,38,40
28/01/2016,Lod,56,33,39,29,37
28/01/2016,Mizpe Ramon,87,44,46,29,30
28/01/2016,Nazareth,42,38,38,23,27
28/01/2016,Qazrin,37,34,35,27,37
28/01/2016,Tel Aviv,61,37,39,21,42
28/01/2016,Tiberias,32,29,32,27,47
28/01/2016,Zefat,55,33,36,25,30
29/01/2016,Afula,29,49,51,47,41
29/01/2016,Ashdod,47,66,64,64,61
29/01/2016,Beer Sheva,37,57,53,52,46
29/01/2016,Bet Shean,38,53,52,38,31
29/01/2016,Elat,32,19,17,17,17
29/01/2016,En Gedi,30,53,53,46,41
29/01/2016,Haifa,32,65,70,58,57
29/01/2016,Jerusalem,50,68,63,50,46
29/01/2016,Lod,27,72,64,53,50
29/01/2016,Mizpe Ramon,32,56,47,45,43
29/01/2016,Nazareth,27,52,55,51,42
29/01/2016,Qazrin,34,57,57,56,45
29/01/2016,Tel Aviv,32,70,63,58,50
29/01/2016,Tiberias,27,49,52,50,39
29/01/2016,Zefat,37,52,52,57,50
30/01/2016,Afula,52,45,48,44,38
30/01/2016,Ashdod,67,69,70,74,66
30/01/2016,Beer Sheva,58,51,51,43,35
30/01/2016,Bet Shean,45,48,50,40,35
30/01/2016,Elat,18,19,18,17,19
30/01/2016,En Gedi,41,47,57,47,54
30/01/2016,Haifa,61,58,62,49,53
30/01/2016,Jerusalem,78,37,53,38,25
30/01/2016,Lod,59,47,52,47,40
30/01/2016,Mizpe Ramon,59,41,46,29,15
30/01/2016,Nazareth,51,56,55,45,42
30/01/2016,Qazrin,45,56,59,47,53
30/01/2016,Tel Aviv,61,56,54,48,58
30/01/2016,Tiberias,43,51,55,47,47
30/01/2016,Zefat,55,55,56,53,54
31/01/2016,Afula,36,25,29,35,28
31/01/2016,Ashdod,72,73,73,63,67
31/01/2016,Beer Sheva,41,42,48,47,31
31/01/2016,Bet Shean,51,31,33,36,33
31/01/2016,Elat,13,18,18,21,22
31/01/2016,En Gedi,47,46,47,42,44
31/01/2016,Haifa,34,27,39,36,31
31/01/2016,Jerusalem,34,26,31,27,25
31/01/2016,Lod,56,36,39,35,37
31/01/2016,Mizpe Ramon,36,32,35,38,29
31/01/2016,Nazareth,34,28,28,39,33
31/01/2016,Qazrin,45,29,31,43,32
31/01/2016,Tel Aviv,61,44,44,52,58
31/01/2016,Tiberias,58,30,27,46,55
31/01/2016,Zefat,47,31,28,43,37
01/02/2016,Afula,31,29,28,33,31
01/02/2016,Ashdod,79,80,83,73,65
01/02/2016,Beer Sheva,42,43,48,28,25
01/02/2016,Bet Shean,37,35,36,31,32
01/02/2016,Elat,25,23,22,17,26
01/02/2016,En Gedi,30,50,48,43,48
01/02/2016,Haifa,22,46,35,43,33
01/02/2016,Jerusalem,19,38,38,28,27
01/02/2016,Lod,47,55,51,52,51
01/02/2016,Mizpe Ramon,22,30,28,28,40
01/02/2016,Nazareth,18,30,27,33,34
01/02/2016,Qazrin,23,33,32,39,33
01/02/2016,Tel Aviv,50,58,55,64,62
01/02/2016,Tiberias,40,34,30,39,46
01/02/2016,Zefat,26,28,30,39,36
02/02/2016,Afula,28,63,65,38,50
02/02/2016,Ashdod,75,77,76,76,78
02/02/2016,Beer Sheva,39,68,66,38,46
02/02/2016,Bet Shean,38,58,59,33,35
02/02/2016,Elat,26,39,48,28,29
02/02/2016,En Gedi,34,66,67,34,48
02/02/2016,Haifa,33,73,76,49,67
02/02/2016,Jerusalem,22,64,66,46,57
02/02/2016,Lod,61,66,63,49,55
02/02/2016,Mizpe Ramon,18,68,64,42,48
02/02/2016,Nazareth,25,66,66,40,58
02/02/2016,Qazrin,35,57,62,40,57
02/02/2016,Tel Aviv,69,69,62,57,68
02/02/2016,Tiberias,39,59,61,36,50
02/02/2016,Zefat,36,57,55,57,65
03/02/2016,Afula,56,44,44,42,39
03/02/2016,Ashdod,85,76,74,75,80
03/02/2016,Beer Sheva,59,47,48,46,44
03/02/2016,Bet Shean,47,49,50,39,35
03/02/2016,Elat,28,20,18,33,31
03/02/2016,En Gedi,37,53,53,37,37
03/02/2016,Haifa,63,55,56,45,42
03/02/2016,Jerusalem,62,46,48,44,40
03/02/2016,Lod,58,43,42,44,49
03/02/2016,Mizpe Ramon,65,42,40,38,32
03/02/2016,Nazareth,59,45,44,41,39
03/02/2016,Qazrin,56,44,46,43,41
03/02/2016,Tel Aviv,66,52,50,52,57
03/02/2016,Tiberias,44,45,44,41,38
03/02/2016,Zefat,66,48,46,48,45
04/02/2016,Afula,45,30,29,28,28
04/02/2016,Ashdod,70,63,65,64,74
04/02/2016,Beer Sheva,36,33,32,20,21
04/02/2016,Bet Shean,52,33,32,25,24
04/02/2016,Elat,33,12,12,26,24
04/02/2016,En Gedi,44,40,39,30,25
04/02/2016,Haifa,46,31,30,32,31
04/02/2016,Jerusalem,47,37,36,29,33
04/02/2016,Lod,31,30,29,24,26
04/02/2016,Mizpe Ramon,43,27,28,25,26
04/02/2016,Nazareth,42,27,26,26,24
04/02/2016,Qazrin,47,26,27,24,23
04/02/2016,Tel Aviv,57,28,24,24,25
04/02/2016,Tiberias,59,33,34,23,21
04/02/2016,Zefat,50,28,29,27,25
05/02/2016,Afula,30,33,33,31,30
05/02/2016,Ashdod,72,64,63,55,54
05/02/2016,Beer Sheva,25,34,32,22,19
05/02/2016,Bet Shean,38,39,39,27,27
05/02/2016,Elat,23,16,16,15,17
05/02/2016,En Gedi,26,41,43,33,29
05/02/2016,Haifa,29,37,37,36,33
05/02/2016,Jerusalem,30,36,34,26,24
05/02/2016,Lod,21,43,45,27,28
05/02/2016,Mizpe Ramon,21,14,17,21,18
05/02/2016,Nazareth,29,29,29,33,33
05/02/2016,Qazrin,30,27,28,32,33
05/02/2016,Tel Aviv,24,43,44,40,37
05/02/2016,Tiberias,32,25,26,33,43
05/02/2016,Zefat,38,30,30,38,37
06/02/2016,Afula,30,82,83,58,59
06/02/2016,Ashdod,62,67,78,67,68
06/02/2016,Beer Sheva,22,56,60,36,39
06/02/2016,Bet Shean,34,77,81,62,55
06/02/2016,Elat,19,28,29,23,23
06/02/2016,En Gedi,27,40,42,31,28
06/02/2016,Haifa,32,88,86,68,75
06/02/2016,Jerusalem,25,72,84,55,47
06/02/2016,Lod,25,78,85,49,58
06/02/2016,Mizpe Ramon,20,30,42,33,38
06/02/2016,Nazareth,26,89,88,64,66
06/02/2016,Qazrin,27,87,92,78,70
06/02/2016,Tel Aviv,31,75,85,67,72
06/02/2016,Tiberias,25,83,86,53,57
06/02/2016,Zefat,31,84,88,58,67
07/02/2016,Afula,81,70,66,72,76
07/02/2016,Ashdod,83,76,81,49,57
07/02/2016,Beer Sheva,42,71,82,39,43
07/02/2016,Bet Shean,77,70,77,51,62
07/02/2016,Elat,30,33,36,23,23
07/02/2016,En Gedi,28,58,62,38,48
07/02/2016,Haifa,78,75,83,63,79
07/02/2016,Jerusalem,61,80,81,64,72
07/02/2016,Lod,79,87,87,65,62
07/02/2016,Mizpe Ramon,39,45,52,38,35
07/02/2016,Nazareth,89,73,72,74,75
07/02/2016,Qazrin,95,79,78,84,83
07/02/2016,Tel Aviv,88,85,81,61,51
07/02/2016,Tiberias,80,74,76,77,81
07/02/2016,Zefat,95,78,77,97,85
08/02/2016,Afula,92,57,57,54,58
08/02/2016,Ashdod,87,76,77,78,76
08/02/2016,Beer Sheva,64,63,75,42,45
08/02/2016,Bet Shean,79,65,57,42,44
08/02/2016,Elat,27,36,40,29,28
08/02/2016,En Gedi,39,63,64,37,39
08/02/2016,Haifa,85,59,61,66,65
08/02/2016,Jerusalem,95,75,68,53,53
08/02/2016,Lod,83,77,71,54,53
08/02/2016,Mizpe Ramon,57,51,54,44,41
08/02/2016,Nazareth,77,52,61,64,62
08/02/2016,Qazrin,96,68,70,70,74
08/02/2016,Tel Aviv,75,73,67,72,65
08/02/2016,Tiberias,89,70,67,59,67
08/02/2016,Zefat,92,66,67,67,70
09/02/2016,Afula,69,42,43,49,50
09/02/2016,Ashdod,91,58,59,66,68
09/02/2016,Beer Sheva,63,47,48,25,31
09/02/2016,Bet Shean,74,53,51,46,43
09/02/2016,Elat,32,31,31,24,20
09/02/2016,En Gedi,41,54,53,27,30
09/02/2016,Haifa,50,47,46,55,48
09/02/2016,Jerusalem,76,50,49,44,37
09/02/2016,Lod,80,45,45,51,35
09/02/2016,Mizpe Ramon,64,40,40,36,30
09/02/2016,Nazareth,65,40,41,46,45
09/02/2016,Qazrin,95,44,46,50,54
09/02/2016,Tel Aviv,78,49,44,54,62
09/02/2016,Tiberias,70,44,43,50,53
09/02/2016,Zefat,80,44,44,54,52
10/02/2016,Afula,48,37,36,42,39
10/02/2016,Ashdod,72,73,81,86,78
10/02/2016,Beer Sheva,37,81,75,44,47
10/02/2016,Bet Shean,51,46,40,38,37
10/02/2016,Elat,20,47,42,33,38
10/02/2016,En Gedi,37,61,65,37,37
10/02/2016,Haifa,44,37,44,47,45
10/02/2016,Jerusalem,51,69,73,56,44
10/02/2016,Lod,32,63,77,53,38
10/02/2016,Mizpe Ramon,37,67,61,43,53
10/02/2016,Nazareth,46,41,36,41,40
10/02/2016,Qazrin,46,45,43,44,41
10/02/2016,Tel Aviv,36,63,63,68,42
10/02/2016,Tiberias,57,46,43,46,50
10/02/2016,Zefat,56,42,41,48,46
