Validity_date,City,Persist_value_wind,EC_wind_1,EC_wind_2,CO_wind_1,CO_wind_2,C3_wind_1,C3_wind_2,OH_wind_1,OH_wind_2
07/01/2016,Mizpe Ramon,7,14,12,10,9,16,15,17,18
07/01/2016,Nazareth,9,7,7,7,6,15,15,9,8
07/01/2016,Qazrin,9,7,7,8,7,15,17,7,6
07/01/2016,Tel Aviv,8,8,6,7,6,7,6,11,16
07/01/2016,Tiberias,7,4,4,2,2,10,10,7,6
07/01/2016,Zefat,17,6,5,3,3,12,12,7,6
08/01/2016,Afula,13,11,12,12,14,11,9,17,19
08/01/2016,Ashdod,20,28,27,27,28,26,26,25,27
08/01/2016,Beer Sheva,8,14,16,15,15,17,16,19,19
08/01/2016,Bet Shean,6,7,9,11,11,17,18,19,19
08/01/2016,Elat,9,6,7,8,8,8,6,12,11
08/01/2016,En Gedi,8,10,11,11,12,17,13,29,19
08/01/2016,Haifa,10,15,16,28,28,20,23,21,24
08/01/2016,Jerusalem,14,15,15,20,20,27,27,25,26
08/01/2016,Lod,8,15,14,13,13,18,17,15,15
08/01/2016,Mizpe Ramon,15,17,17,15,14,20,20,19,19
08/01/2016,Nazareth,15,11,11,17,17,17,16,16,17
08/01/2016,Qazrin,15,15,16,12,14,15,17,12,19
08/01/2016,Tel Aviv,7,18,16,16,16,16,16,15,14
08/01/2016,Tiberias,6,9,10,10,11,16,10,15,16
08/01/2016,Zefat,17,7,7,14,11,18,13,15,16
09/01/2016,Afula,25,9,9,8,9,9,11,11,10
09/01/2016,Ashdod,27,14,14,17,16,19,20,16,14
09/01/2016,Beer Sheva,16,9,8,10,12,14,14,11,10
09/01/2016,Bet Shean,16,7,6,4,5,7,9,12,10
09/01/2016,Elat,6,8,8,7,8,8,6,10,10
09/01/2016,En Gedi,20,7,7,5,5,22,14,3,4
09/01/2016,Haifa,16,7,10,12,17,12,17,13,13
09/01/2016,Jerusalem,20,9,9,10,12,14,13,13,12
09/01/2016,Lod,14,10,8,8,8,12,10,9,7
09/01/2016,Mizpe Ramon,16,10,10,11,11,15,14,13,11
09/01/2016,Nazareth,19,9,8,6,8,11,12,10,10
09/01/2016,Qazrin,17,9,8,4,5,6,5,9,10
09/01/2016,Tel Aviv,20,10,9,9,10,10,10,9,7
09/01/2016,Tiberias,17,4,4,5,5,8,8,8,9
09/01/2016,Zefat,36,3,4,5,9,12,12,8,9
10/01/2016,Afula,12,4,3,4,5,7,7,3,5
10/01/2016,Ashdod,14,8,6,9,10,8,8,6,5
10/01/2016,Beer Sheva,9,4,4,4,6,9,10,4,4
10/01/2016,Bet Shean,11,2,3,4,2,6,6,3,5
10/01/2016,Elat,5,9,9,11,9,13,12,10,9
10/01/2016,En Gedi,17,5,4,7,7,11,7,3,4
10/01/2016,Haifa,10,8,8,4,4,9,9,6,6
10/01/2016,Jerusalem,14,4,4,4,3,5,6,3,3
10/01/2016,Lod,8,4,4,4,5,5,6,4,3
10/01/2016,Mizpe Ramon,9,6,5,5,5,5,5,5,6
10/01/2016,Nazareth,15,4,5,4,4,9,10,4,4
10/01/2016,Qazrin,10,3,3,6,5,10,11,5,4
10/01/2016,Tel Aviv,11,5,5,4,4,5,6,4,3
10/01/2016,Tiberias,8,3,2,3,3,8,5,3,4
10/01/2016,Zefat,22,3,2,2,2,6,6,3,4
11/01/2016,Afula,8,6,5,4,2,7,7,4,6
11/01/2016,Ashdod,6,9,10,5,8,8,7,10,13
11/01/2016,Beer Sheva,5,6,5,6,6,7,8,4,5
11/01/2016,Bet Shean,4,2,2,3,2,8,8,4,6
11/01/2016,Elat,9,8,8,12,12,13,13,10,11
11/01/2016,En Gedi,14,4,4,6,5,9,9,3,4
11/01/2016,Haifa,8,8,6,5,7,15,16,9,9
11/01/2016,Jerusalem,5,4,4,5,4,6,6,2,3
11/01/2016,Lod,4,6,5,4,6,8,7,8,7
11/01/2016,Mizpe Ramon,6,7,7,8,7,13,14,5,6
11/01/2016,Nazareth,8,6,6,5,5,15,14,5,5
11/01/2016,Qazrin,9,6,6,5,6,12,15,6,7
11/01/2016,Tel Aviv,6,5,5,4,5,7,4,8,6
11/01/2016,Tiberias,6,4,4,4,4,5,5,4,4
11/01/2016,Zefat,9,4,4,4,4,9,9,4,4
12/01/2016,Afula,6,4,4,3,3,6,9,5,5
12/01/2016,Ashdod,10,8,9,6,6,9,10,11,12
12/01/2016,Beer Sheva,5,5,5,4,6,6,5,4,4
12/01/2016,Bet Shean,6,3,3,3,4,8,7,4,4
12/01/2016,Elat,10,10,10,13,14,16,16,11,12
12/01/2016,En Gedi,9,4,4,4,3,9,10,4,4
12/01/2016,Haifa,6,4,5,3,5,9,8,6,6
12/01/2016,Jerusalem,8,3,4,3,6,5,6,4,4
12/01/2016,Lod,5,5,5,4,6,7,6,4,5
12/01/2016,Mizpe Ramon,8,8,7,6,5,9,10,6,7
12/01/2016,Nazareth,12,4,4,4,3,4,6,4,4
12/01/2016,Qazrin,17,7,7,4,5,7,5,6,6
12/01/2016,Tel Aviv,6,6,6,3,5,6,7,5,5
12/01/2016,Tiberias,7,4,4,5,5,5,2,5,5
12/01/2016,Zefat,15,3,4,2,2,7,6,3,6
13/01/2016,Afula,7,3,4,4,4,7,7,3,3
13/01/2016,Ashdod,9,5,6,5,5,5,5,6,5
13/01/2016,Beer Sheva,5,5,4,6,4,7,5,4,3
13/01/2016,Bet Shean,10,2,3,2,4,6,5,3,2
13/01/2016,Elat,9,5,5,8,10,11,11,5,6
13/01/2016,En Gedi,12,3,3,3,4,7,6,4,2
13/01/2016,Haifa,5,5,5,5,4,13,12,6,6
13/01/2016,Jerusalem,6,3,4,3,2,6,6,4,2
13/01/2016,Lod,5,5,4,4,3,5,4,7,6
13/01/2016,Mizpe Ramon,7,5,5,3,3,6,5,4,4
13/01/2016,Nazareth,6,5,5,5,4,12,12,6,5
13/01/2016,Qazrin,16,7,7,6,3,13,13,6,6
13/01/2016,Tel Aviv,7,4,4,3,4,5,4,6,5
13/01/2016,Tiberias,5,3,3,4,3,3,3,6,5
13/01/2016,Zefat,11,3,3,2,2,7,7,6,6
14/01/2016,Afula,9,9,10,9,3,4,4,13,13
14/01/2016,Ashdod,6,14,14,14,12,15,13,13,13
14/01/2016,Beer Sheva,4,9,8,8,7,9,9,9,9
14/01/2016,Bet Shean,7,8,6,1,4,10,8,9,5
14/01/2016,Elat,7,7,7,9,11,10,9,10,8
14/01/2016,En Gedi,12,10,7,4,3,5,5,10,10
14/01/2016,Haifa,5,10,10,14,15,14,15,13,15
14/01/2016,Jerusalem,6,10,10,12,8,12,12,14,13
14/01/2016,Lod,4,9,9,8,8,10,10,10,8
14/01/2016,Mizpe Ramon,6,9,9,9,6,13,13,10,9
14/01/2016,Nazareth,12,9,9,8,3,9,8,9,11
14/01/2016,Qazrin,17,8,9,3,3,5,5,5,9
14/01/2016,Tel Aviv,8,9,9,9,8,9,8,10,8
14/01/2016,Tiberias,7,3,3,1,2,3,6,6,9
14/01/2016,Zefat,13,4,3,4,4,10,10,6,9
15/01/2016,Afula,11,4,5,3,2,4,4,6,5
15/01/2016,Ashdod,14,6,6,8,9,7,7,4,5
15/01/2016,Beer Sheva,8,5,5,5,4,8,8,6,6
15/01/2016,Bet Shean,14,3,3,1,2,7,7,2,2
15/01/2016,Elat,7,12,12,14,15,15,15,12,11
15/01/2016,En Gedi,8,4,3,4,3,10,7,5,5
15/01/2016,Haifa,10,3,3,7,5,7,8,4,5
15/01/2016,Jerusalem,10,3,3,4,4,4,6,4,5
15/01/2016,Lod,9,4,4,4,4,6,5,5,5
15/01/2016,Mizpe Ramon,7,7,6,6,6,10,8,7,7
15/01/2016,Nazareth,12,5,4,3,3,7,8,6,7
15/01/2016,Qazrin,5,5,5,4,4,12,13,5,5
15/01/2016,Tel Aviv,11,4,5,6,5,7,6,5,5
15/01/2016,Tiberias,4,3,3,4,4,6,8,4,5
15/01/2016,Zefat,18,2,3,3,2,5,7,4,5
16/01/2016,Afula,6,6,6,10,8,13,14,9,10
16/01/2016,Ashdod,6,9,9,6,6,8,9,7,6
16/01/2016,Beer Sheva,6,4,4,6,4,5,6,5,7
16/01/2016,Bet Shean,8,3,3,4,4,6,6,3,5
16/01/2016,Elat,9,4,4,8,9,9,9,4,5
16/01/2016,En Gedi,11,4,6,5,5,10,10,4,4
16/01/2016,Haifa,3,7,8,8,9,16,19,8,10
16/01/2016,Jerusalem,5,5,5,5,5,11,11,6,7
16/01/2016,Lod,4,5,5,5,3,5,7,4,8
16/01/2016,Mizpe Ramon,8,4,5,2,4,6,7,6,7
16/01/2016,Nazareth,9,9,9,12,12,14,14,14,13
16/01/2016,Qazrin,6,10,9,12,11,17,18,11,11
16/01/2016,Tel Aviv,7,6,5,6,4,7,7,3,3
16/01/2016,Tiberias,6,6,6,3,3,11,12,11,11
16/01/2016,Zefat,9,7,7,5,6,10,10,11,11
17/01/2016,Afula,10,7,7,8,7,11,11,9,8
17/01/2016,Ashdod,9,10,9,6,7,13,9,9,10
17/01/2016,Beer Sheva,5,8,8,7,7,12,14,11,9
17/01/2016,Bet Shean,6,3,5,3,4,7,6,8,8
17/01/2016,Elat,9,8,7,10,10,11,6,15,15
17/01/2016,En Gedi,15,5,5,2,2,6,6,10,10
17/01/2016,Haifa,8,15,15,10,12,20,18,16,17
17/01/2016,Jerusalem,7,5,5,4,4,7,7,9,8
17/01/2016,Lod,5,6,5,5,5,8,8,7,7
17/01/2016,Mizpe Ramon,6,8,9,7,9,11,10,13,13
17/01/2016,Nazareth,18,12,13,16,13,20,18,13,14
17/01/2016,Qazrin,19,10,10,15,15,18,18,10,11
17/01/2016,Tel Aviv,7,4,4,3,3,4,5,5,7
17/01/2016,Tiberias,11,10,10,7,7,14,14,10,11
17/01/2016,Zefat,17,9,9,8,8,13,14,10,11
18/01/2016,Afula,12,14,14,17,17,15,16,21,21
18/01/2016,Ashdod,9,28,29,29,28,27,28,31,31
18/01/2016,Beer Sheva,6,13,13,15,16,17,16,18,20
18/01/2016,Bet Shean,8,10,12,13,12,13,13,18,17
18/01/2016,Elat,6,9,9,11,8,13,15,15,16
18/01/2016,En Gedi,5,9,9,10,8,22,25,22,24
18/01/2016,Haifa,15,19,19,27,28,22,26,30,29
18/01/2016,Jerusalem,7,15,15,17,16,21,20,19,20
18/01/2016,Lod,5,14,14,16,16,18,17,18,18
18/01/2016,Mizpe Ramon,7,17,17,16,16,20,19,18,18
18/01/2016,Nazareth,21,13,13,17,16,15,15,22,23
18/01/2016,Qazrin,24,15,14,14,14,17,16,19,19
18/01/2016,Tel Aviv,6,17,16,16,16,16,15,17,18
18/01/2016,Tiberias,13,12,12,14,14,16,15,19,19
18/01/2016,Zefat,21,12,11,15,15,21,21,18,19
19/01/2016,Afula,22,10,11,12,13,13,15,16,17
19/01/2016,Ashdod,29,25,26,26,29,26,26,26,26
19/01/2016,Beer Sheva,13,12,13,12,12,15,15,17,17
19/01/2016,Bet Shean,24,8,8,13,15,12,13,14,13
19/01/2016,Elat,9,5,5,6,6,7,5,7,7
19/01/2016,En Gedi,20,10,10,12,9,22,23,22,21
19/01/2016,Haifa,19,16,17,26,25,24,23,23,23
19/01/2016,Jerusalem,17,15,14,17,17,18,19,20,21
19/01/2016,Lod,14,12,12,16,17,15,16,15,15
19/01/2016,Mizpe Ramon,16,14,15,14,12,22,17,14,13
19/01/2016,Nazareth,22,10,11,9,10,9,14,15,16
19/01/2016,Qazrin,15,13,13,9,12,13,13,16,17
19/01/2016,Tel Aviv,18,15,15,13,14,13,15,13,15
19/01/2016,Tiberias,15,8,10,7,10,9,6,14,17
19/01/2016,Zefat,40,7,7,8,8,12,12,15,17
20/01/2016,Afula,13,3,3,3,3,6,6,4,2
20/01/2016,Ashdod,26,10,8,15,14,15,15,10,8
20/01/2016,Beer Sheva,14,4,4,5,5,7,9,4,3
20/01/2016,Bet Shean,18,3,3,5,5,12,12,3,2
20/01/2016,Elat,6,8,6,9,10,11,12,5,6
20/01/2016,En Gedi,28,6,5,5,5,9,10,4,4
20/01/2016,Haifa,17,4,5,5,8,13,8,6,6
20/01/2016,Jerusalem,17,5,4,3,2,6,7,4,3
20/01/2016,Lod,12,4,4,3,3,10,7,5,4
20/01/2016,Mizpe Ramon,15,6,6,5,5,8,7,5,4
20/01/2016,Nazareth,16,4,3,3,4,8,6,7,7
20/01/2016,Qazrin,16,7,6,3,2,5,6,6,6
20/01/2016,Tel Aviv,18,5,5,3,5,8,7,5,4
20/01/2016,Tiberias,17,3,3,4,3,4,9,3,6
20/01/2016,Zefat,32,3,2,2,4,9,6,4,6
21/01/2016,Afula,7,5,5,6,6,14,15,6,4
21/01/2016,Ashdod,8,8,9,6,6,12,12,5,6
21/01/2016,Beer Sheva,5,5,5,7,7,8,7,3,6
21/01/2016,Bet Shean,10,4,3,6,8,6,8,3,3
21/01/2016,Elat,7,8,9,11,10,14,13,8,9
21/01/2016,En Gedi,15,5,5,4,5,11,11,5,5
21/01/2016,Haifa,5,8,8,7,9,18,15,11,8
21/01/2016,Jerusalem,4,4,4,4,4,6,7,5,5
21/01/2016,Lod,4,5,5,5,4,9,11,6,7
21/01/2016,Mizpe Ramon,5,6,7,7,6,11,12,5,5
21/01/2016,Nazareth,7,8,7,5,6,13,13,10,9
21/01/2016,Qazrin,7,7,9,6,7,16,16,9,8
21/01/2016,Tel Aviv,7,5,5,4,5,6,7,6,7
21/01/2016,Tiberias,7,5,5,5,4,10,11,9,8
21/01/2016,Zefat,9,7,7,3,2,11,9,10,10
22/01/2016,Afula,11,5,5,4,3,9,11,4,3
22/01/2016,Ashdod,9,8,9,8,7,7,7,7,7
22/01/2016,Beer Sheva,5,5,6,8,7,7,8,8,6
22/01/2016,Bet Shean,6,4,4,2,2,5,4,3,3
22/01/2016,Elat,10,9,9,14,12,14,12,12,12
22/01/2016,En Gedi,10,3,3,2,2,6,3,5,6
22/01/2016,Haifa,8,5,6,4,4,15,14,6,6
22/01/2016,Jerusalem,6,4,3,5,5,8,9,5,5
22/01/2016,Lod,5,5,5,4,3,4,4,4,4
22/01/2016,Mizpe Ramon,8,7,9,8,8,11,12,7,6
22/01/2016,Nazareth,19,5,5,4,4,8,10,5,5
22/01/2016,Qazrin,17,8,7,4,4,9,8,6,6
22/01/2016,Tel Aviv,6,4,6,4,3,5,4,4,4
22/01/2016,Tiberias,10,3,3,4,3,5,7,6,6
22/01/2016,Zefat,19,3,3,3,3,6,7,4,3
23/01/2016,Afula,5,8,7,7,7,8,13,12,9
23/01/2016,Ashdod,9,18,18,19,21,19,19,19,19
23/01/2016,Beer Sheva,5,8,7,11,12,13,14,11,12
23/01/2016,Bet Shean,9,6,5,5,5,9,15,12,12
23/01/2016,Elat,9,9,8,11,10,9,9,11,14
23/01/2016,En Gedi,6,7,8,5,5,23,19,14,14
23/01/2016,Haifa,6,9,10,17,18,14,16,14,14
23/01/2016,Jerusalem,10,8,9,13,13,22,21,17,18
23/01/2016,Lod,5,8,6,8,10,12,12,7,8
23/01/2016,Mizpe Ramon,9,13,13,11,12,17,18,15,9
23/01/2016,Nazareth,10,7,6,6,7,9,9,10,9
23/01/2016,Qazrin,14,9,7,5,6,6,4,9,7
23/01/2016,Tel Aviv,7,10,9,11,12,11,12,7,8
23/01/2016,Tiberias,5,4,5,2,3,6,4,9,7
23/01/2016,Zefat,14,3,5,5,7,13,13,8,7
24/01/2016,Afula,9,15,14,17,19,17.33,17.67,20,20
24/01/2016,Ashdod,18,26,25,28,29,27,27,27,27
24/01/2016,Beer Sheva,10,16,15,17,16,18,17.33,21,21
24/01/2016,Bet Shean,14,13,11,13,16,14.33,16.67,17,23
24/01/2016,Elat,7,9,8,9,7,10,9,12,12
24/01/2016,En Gedi,14,11,9,12,14,17,16.67,28,27
24/01/2016,Haifa,10,20,19,23,27,22.33,23.33,24,24
24/01/2016,Jerusalem,15,16,19,18,19,19.33,20.67,24,24
24/01/2016,Lod,6,16,14,17,16,16.67,16.67,17,20
24/01/2016,Mizpe Ramon,9,18,17,17,18,17.33,17.67,17,18
24/01/2016,Nazareth,15,15,15,15,18,16,17.33,18,19
24/01/2016,Qazrin,10,16,14,14,18,16,16.67,18,18
24/01/2016,Tel Aviv,11,16,17,19,19,17.33,18.67,17,20
24/01/2016,Tiberias,12,14,13,12,17,14.67,16.33,18,19
24/01/2016,Zefat,21,13,13,15,18,15,16.33,17,18
25/01/2016,Afula,20,9,10,11,14,18,13,15,13
25/01/2016,Ashdod,25,15,14,15,19,22,20,17,20
25/01/2016,Beer Sheva,18,9,8,9,10,16,9,13,13
25/01/2016,Bet Shean,18,8,9,10,11,10,11,11,15
25/01/2016,Elat,7,8,10,9,10,12,6,13,11
25/01/2016,En Gedi,17,10,10,8,9,17,19,17,18
25/01/2016,Haifa,19,11,14,15,18,17,14,16,17
25/01/2016,Jerusalem,19,11,9,11,15,9,11,16,19
25/01/2016,Lod,14,8,9,9,10,7,9,10,14
25/01/2016,Mizpe Ramon,12,16,17,16,12,20,19,17,15
25/01/2016,Nazareth,25,10,11,13,14,17,17,14,15
25/01/2016,Qazrin,20,13,15,13,15,15,18,14,15
25/01/2016,Tel Aviv,22,10,11,10,14,8,11,10,14
25/01/2016,Tiberias,18,9,10,11,10,16,12,14,15
25/01/2016,Zefat,36,9,10,12,11,22,19,14,15
26/01/2016,Afula,10,4,5,2,3,7,5,7,4
26/01/2016,Ashdod,14,13,10,11,12,16,14,8,8
26/01/2016,Beer Sheva,12,9,9,14,8,12,12,10,10
26/01/2016,Bet Shean,14,3,3,5,3,8,8,5,7
26/01/2016,Elat,4,7,7,2,8,6,12,8,12
26/01/2016,En Gedi,17,8,8,9,4,13,10,8,8
26/01/2016,Haifa,14,7,8,7,5,8,8,9,11
26/01/2016,Jerusalem,13,10,9,4,6,15,13,10,9
26/01/2016,Lod,9,8,6,5,6,11,8,7,4
26/01/2016,Mizpe Ramon,13,12,14,11,14,19,19,13,16
26/01/2016,Nazareth,18,5,6,4,3,8,6,8,10
26/01/2016,Qazrin,15,7,8,4,5,5,4,7,7
26/01/2016,Tel Aviv,16,8,6,3,7,7,5,7,4
26/01/2016,Tiberias,11,3,4,3,4,8,8,7,8
26/01/2016,Zefat,17,2,4,2,3,7,6,5,6
27/01/2016,Afula,5,5,6,6,5,10,9,8,4
27/01/2016,Ashdod,10,13,10,12,12,15,12,18,16
27/01/2016,Beer Sheva,9,5,4,5,6,10,10,12,6
27/01/2016,Bet Shean,10,4,5,4,6,11,8,6,5
27/01/2016,Elat,5,6,7,7,9,10,8,9,10
27/01/2016,En Gedi,20,4,3,2,3,7,9,10,7
27/01/2016,Haifa,8,11,9,10,12,13,10,19,16
27/01/2016,Jerusalem,13,4,4,5,5,7,6,11,8
27/01/2016,Lod,6,5,5,4,5,13,9,9,9
27/01/2016,Mizpe Ramon,10,5,4,6,5,7,7,10,9
27/01/2016,Nazareth,5,6,8,8,5,8,8,11,11
27/01/2016,Qazrin,9,8,8,9,5,16,12,8,8
27/01/2016,Tel Aviv,11,7,5,4,4,9,7,9,9
27/01/2016,Tiberias,6,5,5,5,6,11,11,8,7
27/01/2016,Zefat,12,4,6,7,7,10,12,8,8
28/01/2016,Afula,10,4,5,4,3,8,6,3,3
28/01/2016,Ashdod,10,10,10,7,6,8,9,9,9
28/01/2016,Beer Sheva,7,5,7,3,7,9,8,6,3
28/01/2016,Bet Shean,9,2,2,3,1,9,8,3,3
28/01/2016,Elat,5,8,8,14,16,16,13,12,8
28/01/2016,En Gedi,14,6,5,8,6,10,9,5,4
28/01/2016,Haifa,9,9,9,7,6,11,11,7,7
28/01/2016,Jerusalem,7,4,4,3,3,6,6,4,3
28/01/2016,Lod,5,6,6,4,7,7,5,6,6
28/01/2016,Mizpe Ramon,6,7,7,7,8,9,8,8,5
28/01/2016,Nazareth,10,5,4,5,4,8,9,7,8
28/01/2016,Qazrin,19,7,6,5,5,11,10,5,5
28/01/2016,Tel Aviv,8,6,7,4,5,5,7,6,7
28/01/2016,Tiberias,12,3,3,3,3,5,4,5,5
28/01/2016,Zefat,13,3,3,3,3,8,7,5,5
29/01/2016,Afula,9,4,5,3,3,6,2,4,1
29/01/2016,Ashdod,10,9,7,8,8,6,7,6,4
29/01/2016,Beer Sheva,5,6,7,5,5,9,9,10,7
29/01/2016,Bet Shean,8,3,3,1,1,3,5,2,2
29/01/2016,Elat,9,8,8,13,12,19,15,10,13
29/01/2016,En Gedi,12,2,3,4,3,7,7,3,4
29/01/2016,Haifa,9,7,7,6,5,8,8,9,7
29/01/2016,Jerusalem,5,5,4,3,3,5,7,5,5
29/01/2016,Lod,6,5,6,5,5,6,5,8,9
29/01/2016,Mizpe Ramon,6,10,10,9,9,10,10,10,9
29/01/2016,Nazareth,10,4,5,5,3,8,9,7,8
29/01/2016,Qazrin,16,5,6,4,3,9,8,7,7
29/01/2016,Tel Aviv,9,4,5,4,5,4,4,5,6
29/01/2016,Tiberias,6,3,4,3,3,5,4,5,4
29/01/2016,Zefat,15,2,2,2,2,5,6,5,4
30/01/2016,Afula,6,3,4,3,4,7,7,2,2
30/01/2016,Ashdod,7,7,8,6,8,10,6,9,8
30/01/2016,Beer Sheva,4,4,5,6,6,9,9,5,4
30/01/2016,Bet Shean,5,1,2,2,2,3,4,2,2
30/01/2016,Elat,10,7,7,11,11,14,14,9,9
30/01/2016,En Gedi,8,6,5,4,3,9,6,4,3
30/01/2016,Haifa,7,7,7,5,5,11,11,7,8
30/01/2016,Jerusalem,7,4,4,3,3,6,8,4,3
30/01/2016,Lod,6,5,5,5,5,8,6,5,6
30/01/2016,Mizpe Ramon,9,6,6,6,5,9,11,5,5
30/01/2016,Nazareth,9,5,5,4,4,10,9,5,8
30/01/2016,Qazrin,7,4,5,4,4,10,9,5,6
30/01/2016,Tel Aviv,8,5,5,5,5,7,6,6,5
30/01/2016,Tiberias,7,3,3,4,3,5,4,4,5
30/01/2016,Zefat,9,2,2,3,2,3,4,4,4
31/01/2016,Afula,7,4,3,4,4,7,7,5,2
31/01/2016,Ashdod,8,7,7,6,7,6,7,7,7
31/01/2016,Beer Sheva,6,5,6,4,5,6,7,3,3
31/01/2016,Bet Shean,6,2,2,1,2,3,5,2,2
31/01/2016,Elat,8,7,8,13,12,16,14,9,10
31/01/2016,En Gedi,9,4,4,5,5,8,8,3,4
31/01/2016,Haifa,7,6,6,6,7,12,15,7,7
31/01/2016,Jerusalem,5,4,4,3,3,7,5,5,4
