Time,Basis_date,Validity_date,City,Persist_value_minTemp,EC_minTemp,CO_minTemp,C3_minTemp,OH_minTemp
2,02/01/2016,03/01/2016,Jerusalem,4,8,8,7,8
1,03/01/2016,03/01/2016,Lod,9,10,10,12,11
2,02/01/2016,03/01/2016,Lod,9,10,11,12,9
1,03/01/2016,03/01/2016,Mizpe Ramon,3,6,6,7,7
2,02/01/2016,03/01/2016,Mizpe Ramon,3,4,7,6,7
1,03/01/2016,03/01/2016,Nazareth,6,7,7,8,7
2,02/01/2016,03/01/2016,Nazareth,6,6,8,9,6
1,03/01/2016,03/01/2016,Qazrin,6,6,6,8,7
2,02/01/2016,03/01/2016,Qazrin,6,6,8,9,5
1,03/01/2016,03/01/2016,Tel Aviv,8,11,9,11,11
2,02/01/2016,03/01/2016,Tel Aviv,8,10,10,11,9
1,03/01/2016,03/01/2016,Tiberias,9,9,9,13,7
2,02/01/2016,03/01/2016,Tiberias,9,8,12,11,6
1,03/01/2016,03/01/2016,Zefat,2,5,6,6,7
2,02/01/2016,03/01/2016,Zefat,2,5,7,6,5
1,04/01/2016,04/01/2016,Afula,6,8,11,9,12
2,03/01/2016,04/01/2016,Afula,6,11,10,9,12
1,04/01/2016,04/01/2016,Ashdod,13,14,11,13,13
2,03/01/2016,04/01/2016,Ashdod,13,14,12,13,13
1,04/01/2016,04/01/2016,Beer Sheva,8,7,9,10,10
2,03/01/2016,04/01/2016,Beer Sheva,8,7,9,10,9
1,04/01/2016,04/01/2016,Bet Shean,6,10,11,9,14
2,03/01/2016,04/01/2016,Bet Shean,6,11,11,11,12
1,04/01/2016,04/01/2016,Elat,10,9,11,10,9
2,03/01/2016,04/01/2016,Elat,10,9,11,11,10
1,04/01/2016,04/01/2016,En Gedi,16,9,14,15,14
2,03/01/2016,04/01/2016,En Gedi,16,9,14,15,14
1,04/01/2016,04/01/2016,Haifa,9,12,11,12,13
2,03/01/2016,04/01/2016,Haifa,9,12,12,11,13
1,04/01/2016,04/01/2016,Jerusalem,7,7,8,9,9
2,03/01/2016,04/01/2016,Jerusalem,7,8,9,8,9
1,04/01/2016,04/01/2016,Lod,10,10,10,11,11
2,03/01/2016,04/01/2016,Lod,10,11,11,11,11
1,04/01/2016,04/01/2016,Mizpe Ramon,7,5,9,8,8
2,03/01/2016,04/01/2016,Mizpe Ramon,7,6,8,8,8
1,04/01/2016,04/01/2016,Nazareth,8,10,10,9,10
2,03/01/2016,04/01/2016,Nazareth,8,10,9,9,9
1,04/01/2016,04/01/2016,Qazrin,6,8,8,8,9
2,03/01/2016,04/01/2016,Qazrin,6,8,9,9,9
1,04/01/2016,04/01/2016,Tel Aviv,11,11,10,10,11
2,03/01/2016,04/01/2016,Tel Aviv,11,11,9,10,11
1,04/01/2016,04/01/2016,Tiberias,10,10,11,14,10
2,03/01/2016,04/01/2016,Tiberias,10,10,12,11,9
1,04/01/2016,04/01/2016,Zefat,4,8,8,5,9
2,03/01/2016,04/01/2016,Zefat,4,8,8,6,9
1,05/01/2016,05/01/2016,Afula,10,9,10,9,12
2,04/01/2016,05/01/2016,Afula,10,9,10,9,12
1,05/01/2016,05/01/2016,Ashdod,14,14,14,14,13
2,04/01/2016,05/01/2016,Ashdod,14,14,14,14,14
1,05/01/2016,05/01/2016,Beer Sheva,7,9,10,12,10
2,04/01/2016,05/01/2016,Beer Sheva,7,9,11,12,10
1,05/01/2016,05/01/2016,Bet Shean,12,10,10,10,12
2,04/01/2016,05/01/2016,Bet Shean,12,10,11,10,14
1,05/01/2016,05/01/2016,Elat,11,10,12,11,10
2,04/01/2016,05/01/2016,Elat,11,10,13,12,15
1,05/01/2016,05/01/2016,En Gedi,14,10,15,13,15
2,04/01/2016,05/01/2016,En Gedi,14,10,14,13,15
1,05/01/2016,05/01/2016,Haifa,13,12,11,13,13
2,04/01/2016,05/01/2016,Haifa,13,12,12,12,13
1,05/01/2016,05/01/2016,Jerusalem,9,8,10,8,11
2,04/01/2016,05/01/2016,Jerusalem,9,8,10,9,11
1,05/01/2016,05/01/2016,Lod,12,11,13,12,11
2,04/01/2016,05/01/2016,Lod,12,11,13,12,12
1,05/01/2016,05/01/2016,Mizpe Ramon,9,7,10,10,9
2,04/01/2016,05/01/2016,Mizpe Ramon,9,7,10,10,10
1,05/01/2016,05/01/2016,Nazareth,11,10,9,9,10
2,04/01/2016,05/01/2016,Nazareth,11,10,9,9,10
1,05/01/2016,05/01/2016,Qazrin,10,7,8,9,8
2,04/01/2016,05/01/2016,Qazrin,10,8,9,9,9
1,05/01/2016,05/01/2016,Tel Aviv,13,11,11,11,11
2,04/01/2016,05/01/2016,Tel Aviv,13,11,11,10,12
1,05/01/2016,05/01/2016,Tiberias,13,10,11,11,10
2,04/01/2016,05/01/2016,Tiberias,13,10,12,11,11
1,05/01/2016,05/01/2016,Zefat,7,8,8,8,8
2,04/01/2016,05/01/2016,Zefat,7,7,8,8,9
1,06/01/2016,06/01/2016,Afula,6,8,12,9,11
2,05/01/2016,06/01/2016,Afula,6,9,11,10,12
1,06/01/2016,06/01/2016,Ashdod,13,15,14,15,15
2,05/01/2016,06/01/2016,Ashdod,13,15,14,14,12
1,06/01/2016,06/01/2016,Beer Sheva,6,11,12,12,11
2,05/01/2016,06/01/2016,Beer Sheva,6,10,12,13,11
1,06/01/2016,06/01/2016,Bet Shean,8,10,10,10,11
2,05/01/2016,06/01/2016,Bet Shean,8,10,10,11,12
1,06/01/2016,06/01/2016,Elat,11,10,14,11,13
2,05/01/2016,06/01/2016,Elat,11,9,14,14,12
1,06/01/2016,06/01/2016,En Gedi,13,15,14,13,14
2,05/01/2016,06/01/2016,En Gedi,13,16,13,14,15
1,06/01/2016,06/01/2016,Haifa,14,13,12,12,13
2,05/01/2016,06/01/2016,Haifa,14,13,12,12,14
1,06/01/2016,06/01/2016,Jerusalem,10,9,11,10,11
2,05/01/2016,06/01/2016,Jerusalem,10,9,10,11,12
1,06/01/2016,06/01/2016,Lod,10,11,14,13,13
2,05/01/2016,06/01/2016,Lod,10,10,14,14,11
1,06/01/2016,06/01/2016,Mizpe Ramon,10,9,11,11,11
2,05/01/2016,06/01/2016,Mizpe Ramon,10,9,11,11,12
1,06/01/2016,06/01/2016,Nazareth,11,11,12,12,11
2,05/01/2016,06/01/2016,Nazareth,11,11,11,12,13
1,06/01/2016,06/01/2016,Qazrin,8,8,11,11,11
2,05/01/2016,06/01/2016,Qazrin,8,8,11,10,11
1,06/01/2016,06/01/2016,Tel Aviv,13,10,12,12,11
2,05/01/2016,06/01/2016,Tel Aviv,13,11,12,12,13
1,06/01/2016,06/01/2016,Tiberias,11,11,12,13,11
2,05/01/2016,06/01/2016,Tiberias,11,11,12,13,11
1,06/01/2016,06/01/2016,Zefat,7,8,9,9,11
2,05/01/2016,06/01/2016,Zefat,7,7,9,9,11
1,07/01/2016,07/01/2016,Afula,6,12,12,12,13
2,06/01/2016,07/01/2016,Afula,6,12,11,12,13
1,07/01/2016,07/01/2016,Ashdod,12,16,15,14,15
2,06/01/2016,07/01/2016,Ashdod,12,15,16,15,15
1,07/01/2016,07/01/2016,Beer Sheva,9,11,11,11,12
2,06/01/2016,07/01/2016,Beer Sheva,9,11,10,12,13
1,07/01/2016,07/01/2016,Bet Shean,8,12,13,13,16
2,06/01/2016,07/01/2016,Bet Shean,8,12,13,13,16
1,07/01/2016,07/01/2016,Elat,12,12,14,13,14
2,06/01/2016,07/01/2016,Elat,12,12,14,13,14
1,07/01/2016,07/01/2016,En Gedi,15,12,16,14,17
2,06/01/2016,07/01/2016,En Gedi,15,12,16,14,18
1,07/01/2016,07/01/2016,Haifa,13,12,14,11,14
2,06/01/2016,07/01/2016,Haifa,13,12,14,12,14
1,07/01/2016,07/01/2016,Jerusalem,12,9,9,8,10
2,06/01/2016,07/01/2016,Jerusalem,12,9,9,8,9
1,07/01/2016,07/01/2016,Lod,10,12,11,14,14
2,06/01/2016,07/01/2016,Lod,10,12,11,13,13
1,07/01/2016,07/01/2016,Mizpe Ramon,10,10,9,8,9
2,06/01/2016,07/01/2016,Mizpe Ramon,10,8,9,8,9
1,07/01/2016,07/01/2016,Nazareth,12,11,11,11,11
2,06/01/2016,07/01/2016,Nazareth,12,11,11,11,11
1,07/01/2016,07/01/2016,Qazrin,10,9,9,9,10
2,06/01/2016,07/01/2016,Qazrin,10,9,9,9,10
1,07/01/2016,07/01/2016,Tel Aviv,12,13,13,15,13
2,06/01/2016,07/01/2016,Tel Aviv,12,13,13,12,13
1,07/01/2016,07/01/2016,Tiberias,12,11,12,11,11
2,06/01/2016,07/01/2016,Tiberias,12,11,12,12,11
1,07/01/2016,07/01/2016,Zefat,9,9,11,8,10
2,06/01/2016,07/01/2016,Zefat,9,9,11,7,10
1,08/01/2016,08/01/2016,Afula,11,10,12,10,11
2,07/01/2016,08/01/2016,Afula,11,11,11,11,12
1,08/01/2016,08/01/2016,Ashdod,16,15,17,17,15
2,07/01/2016,08/01/2016,Ashdod,16,14,17,15,15
1,08/01/2016,08/01/2016,Beer Sheva,12,11,11,10,12
2,07/01/2016,08/01/2016,Beer Sheva,12,11,11,10,12
1,08/01/2016,08/01/2016,Bet Shean,13,10,12,12,11
2,07/01/2016,08/01/2016,Bet Shean,13,10,13,11,14
1,08/01/2016,08/01/2016,Elat,16,13,14,15,14
2,07/01/2016,08/01/2016,Elat,16,13,15,14,14
1,08/01/2016,08/01/2016,En Gedi,19,13,16,15,16
2,07/01/2016,08/01/2016,En Gedi,19,13,16,15,16
1,08/01/2016,08/01/2016,Haifa,11,13,13,13,14
2,07/01/2016,08/01/2016,Haifa,11,12,13,13,15
1,08/01/2016,08/01/2016,Jerusalem,8,8,9,7,10
2,07/01/2016,08/01/2016,Jerusalem,8,8,9,8,9
1,08/01/2016,08/01/2016,Lod,14,10,13,13,13
2,07/01/2016,08/01/2016,Lod,14,10,12,14,13
1,08/01/2016,08/01/2016,Mizpe Ramon,8,9,10,8,10
2,07/01/2016,08/01/2016,Mizpe Ramon,8,8,9,8,10
1,08/01/2016,08/01/2016,Nazareth,10,11,11,11,10
2,07/01/2016,08/01/2016,Nazareth,10,11,10,12,10
1,08/01/2016,08/01/2016,Qazrin,9,9,9,9,10
2,07/01/2016,08/01/2016,Qazrin,9,9,9,7,9
1,08/01/2016,08/01/2016,Tel Aviv,15,13,14,12,13
2,07/01/2016,08/01/2016,Tel Aviv,15,13,14,16,13
1,08/01/2016,08/01/2016,Tiberias,13,10,13,11,10
2,07/01/2016,08/01/2016,Tiberias,13,10,12,10,10
1,08/01/2016,08/01/2016,Zefat,7,8,10,7,10
2,07/01/2016,08/01/2016,Zefat,7,8,10,7,9
1,09/01/2016,09/01/2016,Afula,9,8,10,8,11
2,08/01/2016,09/01/2016,Afula,9,6,9,8,9
1,09/01/2016,09/01/2016,Ashdod,16,13,11,12,12
2,08/01/2016,09/01/2016,Ashdod,16,13,13,12,12
1,09/01/2016,09/01/2016,Beer Sheva,11,7,8,10,9
2,08/01/2016,09/01/2016,Beer Sheva,11,8,9,10,8
1,09/01/2016,09/01/2016,Bet Shean,10,8,11,10,12
2,08/01/2016,09/01/2016,Bet Shean,10,8,11,10,11
1,09/01/2016,09/01/2016,Elat,17,8,11,10,9
2,08/01/2016,09/01/2016,Elat,17,8,10,10,10
1,09/01/2016,09/01/2016,En Gedi,17,12,14,13,14
2,08/01/2016,09/01/2016,En Gedi,17,13,14,12,13
1,09/01/2016,09/01/2016,Haifa,12,10,10,11,11
2,08/01/2016,09/01/2016,Haifa,12,10,10,11,12
1,09/01/2016,09/01/2016,Jerusalem,7,6,7,6,8
2,08/01/2016,09/01/2016,Jerusalem,7,5,8,7,8
1,09/01/2016,09/01/2016,Lod,12,9,12,11,10
2,08/01/2016,09/01/2016,Lod,12,9,12,11,10
1,09/01/2016,09/01/2016,Mizpe Ramon,9,5,7,8,7
2,08/01/2016,09/01/2016,Mizpe Ramon,9,4,7,7,7
1,09/01/2016,09/01/2016,Nazareth,11,8,7,8,8
2,08/01/2016,09/01/2016,Nazareth,11,8,7,8,8
1,09/01/2016,09/01/2016,Qazrin,9,8,7,7,7
2,08/01/2016,09/01/2016,Qazrin,9,8,7,7,6
1,09/01/2016,09/01/2016,Tel Aviv,14,10,12,10,10
2,08/01/2016,09/01/2016,Tel Aviv,14,9,11,10,12
1,09/01/2016,09/01/2016,Tiberias,12,11,9,9,8
2,08/01/2016,09/01/2016,Tiberias,12,10,10,9,8
1,09/01/2016,09/01/2016,Zefat,6,9,7,6,7
2,08/01/2016,09/01/2016,Zefat,6,8,7,6,6
1,10/01/2016,10/01/2016,Afula,8,7,9,8,9
2,09/01/2016,10/01/2016,Afula,8,7,9,9,9
1,10/01/2016,10/01/2016,Ashdod,10,13,12,13,11
2,09/01/2016,10/01/2016,Ashdod,10,13,12,13,10
1,10/01/2016,10/01/2016,Beer Sheva,7,6,9,11,8
2,09/01/2016,10/01/2016,Beer Sheva,7,5,9,11,9
1,10/01/2016,10/01/2016,Bet Shean,10,7,11,9,11
2,09/01/2016,10/01/2016,Bet Shean,10,8,10,10,11
1,10/01/2016,10/01/2016,Elat,10,6,11,11,10
2,09/01/2016,10/01/2016,Elat,10,7,12,11,11
1,10/01/2016,10/01/2016,En Gedi,14,10,15,12,13
2,09/01/2016,10/01/2016,En Gedi,14,10,15,13,14
1,10/01/2016,10/01/2016,Haifa,10,11,10,9,10
2,09/01/2016,10/01/2016,Haifa,10,11,10,9,12
1,10/01/2016,10/01/2016,Jerusalem,8,6,9,7,9
2,09/01/2016,10/01/2016,Jerusalem,8,8,9,7,8
1,10/01/2016,10/01/2016,Lod,8,8,11,11,9
2,09/01/2016,10/01/2016,Lod,8,8,11,11,9
1,10/01/2016,10/01/2016,Mizpe Ramon,5,8,7,8,8
2,09/01/2016,10/01/2016,Mizpe Ramon,5,8,7,8,8
1,10/01/2016,10/01/2016,Nazareth,10,8,9,9,9
2,09/01/2016,10/01/2016,Nazareth,10,8,10,10,9
1,10/01/2016,10/01/2016,Qazrin,5,7,9,8,7
2,09/01/2016,10/01/2016,Qazrin,5,8,9,8,9
1,10/01/2016,10/01/2016,Tel Aviv,10,7,11,11,10
2,09/01/2016,10/01/2016,Tel Aviv,10,7,10,11,10
1,10/01/2016,10/01/2016,Tiberias,10,9,11,11,9
2,09/01/2016,10/01/2016,Tiberias,10,10,10,11,8
1,10/01/2016,10/01/2016,Zefat,6,6,9,7,10
2,09/01/2016,10/01/2016,Zefat,6,6,8,7,9
1,11/01/2016,11/01/2016,Afula,5,7,10,7,10
2,10/01/2016,11/01/2016,Afula,5,7,10,7,10
1,11/01/2016,11/01/2016,Ashdod,10,13,13,12,10
2,10/01/2016,11/01/2016,Ashdod,10,13,12,12,10
1,11/01/2016,11/01/2016,Beer Sheva,6,6,9,9,8
2,10/01/2016,11/01/2016,Beer Sheva,6,6,9,10,8
1,11/01/2016,11/01/2016,Bet Shean,7,7,10,10,12
2,10/01/2016,11/01/2016,Bet Shean,7,7,11,10,11
1,11/01/2016,11/01/2016,Elat,13,7,11,8,11
2,10/01/2016,11/01/2016,Elat,13,7,11,8,11
1,11/01/2016,11/01/2016,En Gedi,15,12,13,12,14
2,10/01/2016,11/01/2016,En Gedi,15,12,13,12,14
1,11/01/2016,11/01/2016,Haifa,11,8,11,11,10
2,10/01/2016,11/01/2016,Haifa,11,10,11,11,12
1,11/01/2016,11/01/2016,Jerusalem,8,7,9,7,9
2,10/01/2016,11/01/2016,Jerusalem,8,8,9,8,9
1,11/01/2016,11/01/2016,Lod,7,8,11,9,9
2,10/01/2016,11/01/2016,Lod,7,8,10,10,9
1,11/01/2016,11/01/2016,Mizpe Ramon,6,5,9,7,8
2,10/01/2016,11/01/2016,Mizpe Ramon,6,5,8,7,8
1,11/01/2016,11/01/2016,Nazareth,9,7,10,7,9
2,10/01/2016,11/01/2016,Nazareth,9,7,10,8,9
1,11/01/2016,11/01/2016,Qazrin,9,7,9,8,7
2,10/01/2016,11/01/2016,Qazrin,9,7,9,8,10
1,11/01/2016,11/01/2016,Tel Aviv,8,6,11,9,10
2,10/01/2016,11/01/2016,Tel Aviv,8,7,10,10,9
1,11/01/2016,11/01/2016,Tiberias,12,9,10,9,9
2,10/01/2016,11/01/2016,Tiberias,12,9,11,10,9
1,11/01/2016,11/01/2016,Zefat,6,5,9,8,10
2,10/01/2016,11/01/2016,Zefat,6,5,9,9,10
1,12/01/2016,12/01/2016,Afula,5,7,10,8,9
2,11/01/2016,12/01/2016,Afula,5,7,9,7,10
1,12/01/2016,12/01/2016,Ashdod,10,13,11,12,11
2,11/01/2016,12/01/2016,Ashdod,10,13,11,10,11
1,12/01/2016,12/01/2016,Beer Sheva,5,6,10,11,8
2,11/01/2016,12/01/2016,Beer Sheva,5,6,9,11,9
1,12/01/2016,12/01/2016,Bet Shean,9,8,10,9,11
2,11/01/2016,12/01/2016,Bet Shean,9,9,10,9,11
1,12/01/2016,12/01/2016,Elat,12,6,13,11,10
2,11/01/2016,12/01/2016,Elat,12,6,12,10,10
1,12/01/2016,12/01/2016,En Gedi,15,12,15,11,14
2,11/01/2016,12/01/2016,En Gedi,15,13,15,11,14
1,12/01/2016,12/01/2016,Haifa,10,11,11,11,10
2,11/01/2016,12/01/2016,Haifa,10,11,11,11,12
1,12/01/2016,12/01/2016,Jerusalem,8,9,10,9,9
2,11/01/2016,12/01/2016,Jerusalem,8,9,9,9,9
1,12/01/2016,12/01/2016,Lod,8,7,12,10,9
2,11/01/2016,12/01/2016,Lod,8,7,11,10,10
1,12/01/2016,12/01/2016,Mizpe Ramon,6,8,8,9,9
2,11/01/2016,12/01/2016,Mizpe Ramon,6,7,8,8,9
1,12/01/2016,12/01/2016,Nazareth,10,8,10,7,10
2,11/01/2016,12/01/2016,Nazareth,10,9,10,8,10
1,12/01/2016,12/01/2016,Qazrin,9,7,10,9,7
2,11/01/2016,12/01/2016,Qazrin,9,7,10,9,10
1,12/01/2016,12/01/2016,Tel Aviv,8,5,10,10,11
2,11/01/2016,12/01/2016,Tel Aviv,8,7,10,10,10
1,12/01/2016,12/01/2016,Tiberias,10,9,11,10,9
2,11/01/2016,12/01/2016,Tiberias,10,9,10,10,9
1,12/01/2016,12/01/2016,Zefat,7,7,8,9,10
2,11/01/2016,12/01/2016,Zefat,7,7,8,8,10
1,13/01/2016,13/01/2016,Afula,4,6,10,8,9
2,12/01/2016,13/01/2016,Afula,4,7,10,10,9
1,13/01/2016,13/01/2016,Ashdod,10,12,12,12,12
2,12/01/2016,13/01/2016,Ashdod,10,12,12,11,12
1,13/01/2016,13/01/2016,Beer Sheva,6,8,9,10,9
2,12/01/2016,13/01/2016,Beer Sheva,6,8,9,11,9
1,13/01/2016,13/01/2016,Bet Shean,8,9,10,9,12
2,12/01/2016,13/01/2016,Bet Shean,8,8,11,10,11
1,13/01/2016,13/01/2016,Elat,13,9,12,10,10
2,12/01/2016,13/01/2016,Elat,13,8,12,11,11
1,13/01/2016,13/01/2016,En Gedi,15,10,13,12,14
2,12/01/2016,13/01/2016,En Gedi,15,10,13,12,14
1,13/01/2016,13/01/2016,Haifa,12,10,11,12,12
2,12/01/2016,13/01/2016,Haifa,12,11,11,12,9
1,13/01/2016,13/01/2016,Jerusalem,10,6,9,9,9
2,12/01/2016,13/01/2016,Jerusalem,10,7,9,9,10
1,13/01/2016,13/01/2016,Lod,8,9,11,11,9
2,12/01/2016,13/01/2016,Lod,8,10,11,12,9
1,13/01/2016,13/01/2016,Mizpe Ramon,6,7,9,10,9
2,12/01/2016,13/01/2016,Mizpe Ramon,6,6,9,9,10
1,13/01/2016,13/01/2016,Nazareth,10,8,9,8,10
2,12/01/2016,13/01/2016,Nazareth,10,8,9,9,10
1,13/01/2016,13/01/2016,Qazrin,10,7,8,8,7
2,12/01/2016,13/01/2016,Qazrin,10,9,8,9,9
1,13/01/2016,13/01/2016,Tel Aviv,9,8,10,10,9
2,12/01/2016,13/01/2016,Tel Aviv,9,8,10,11,9
1,13/01/2016,13/01/2016,Tiberias,11,10,10,9,10
2,12/01/2016,13/01/2016,Tiberias,11,11,11,10,10
1,13/01/2016,13/01/2016,Zefat,8,9,8,8,9
2,12/01/2016,13/01/2016,Zefat,8,9,8,8,9
1,14/01/2016,14/01/2016,Afula,7,9,10,10,10
2,13/01/2016,14/01/2016,Afula,7,9,11,9,11
1,14/01/2016,14/01/2016,Ashdod,12,15,12,12,13
2,13/01/2016,14/01/2016,Ashdod,12,15,12,12,13
1,14/01/2016,14/01/2016,Beer Sheva,10,10,10,11,11
2,13/01/2016,14/01/2016,Beer Sheva,10,9,9,11,12
1,14/01/2016,14/01/2016,Bet Shean,8,10,11,11,12
2,13/01/2016,14/01/2016,Bet Shean,8,10,11,11,13
1,14/01/2016,14/01/2016,Elat,10,8,13,11,14
2,13/01/2016,14/01/2016,Elat,10,8,12,10,11
1,14/01/2016,14/01/2016,En Gedi,13,13,15,14,16
2,13/01/2016,14/01/2016,En Gedi,13,13,15,15,15
1,14/01/2016,14/01/2016,Haifa,12,11,11,12,12
2,13/01/2016,14/01/2016,Haifa,12,12,11,12,11
1,14/01/2016,14/01/2016,Jerusalem,9,8,9,9,9
2,13/01/2016,14/01/2016,Jerusalem,9,7,9,9,10
1,14/01/2016,14/01/2016,Lod,10,9,12,12,11
2,13/01/2016,14/01/2016,Lod,10,9,12,12,12
1,14/01/2016,14/01/2016,Mizpe Ramon,9,9,9,8,9
2,13/01/2016,14/01/2016,Mizpe Ramon,9,6,9,8,10
1,14/01/2016,14/01/2016,Nazareth,11,9,10,9,9
2,13/01/2016,14/01/2016,Nazareth,11,10,10,9,10
1,14/01/2016,14/01/2016,Qazrin,8,10,8,9,8
2,13/01/2016,14/01/2016,Qazrin,8,9,9,9,9
1,14/01/2016,14/01/2016,Tel Aviv,12,8,11,12,11
2,13/01/2016,14/01/2016,Tel Aviv,12,9,12,12,12
1,14/01/2016,14/01/2016,Tiberias,12,11,11,11,10
2,13/01/2016,14/01/2016,Tiberias,12,10,12,11,10
1,14/01/2016,14/01/2016,Zefat,7,9,8,7,10
2,13/01/2016,14/01/2016,Zefat,7,7,8,7,9
1,15/01/2016,15/01/2016,Afula,8,6,10,9,9
2,14/01/2016,15/01/2016,Afula,8,6,9,9,9
1,15/01/2016,15/01/2016,Ashdod,13,13,11,10,10
2,14/01/2016,15/01/2016,Ashdod,13,13,11,10,10
1,15/01/2016,15/01/2016,Beer Sheva,11,7,10,11,9
2,14/01/2016,15/01/2016,Beer Sheva,11,7,10,11,9
1,15/01/2016,15/01/2016,Bet Shean,9,8,10,10,11
2,14/01/2016,15/01/2016,Bet Shean,9,9,10,10,11
1,15/01/2016,15/01/2016,Elat,12,7,12,13,14
2,14/01/2016,15/01/2016,Elat,12,7,12,13,11
1,15/01/2016,15/01/2016,En Gedi,17,10,15,14,14
2,14/01/2016,15/01/2016,En Gedi,17,10,15,15,15
1,15/01/2016,15/01/2016,Haifa,12,10,11,10,12
2,14/01/2016,15/01/2016,Haifa,12,10,10,10,10
1,15/01/2016,15/01/2016,Jerusalem,9,6,9,8,8
2,14/01/2016,15/01/2016,Jerusalem,9,6,9,7,8
1,15/01/2016,15/01/2016,Lod,11,7,11,12,9
2,14/01/2016,15/01/2016,Lod,11,8,11,11,9
1,15/01/2016,15/01/2016,Mizpe Ramon,8,6,7,7,8
2,14/01/2016,15/01/2016,Mizpe Ramon,8,6,7,7,8
1,15/01/2016,15/01/2016,Nazareth,11,7,10,9,9
2,14/01/2016,15/01/2016,Nazareth,11,7,9,9,9
1,15/01/2016,15/01/2016,Qazrin,8,7,10,8,9
2,14/01/2016,15/01/2016,Qazrin,8,7,9,8,10
1,15/01/2016,15/01/2016,Tel Aviv,11,6,10,11,9
2,14/01/2016,15/01/2016,Tel Aviv,11,7,10,10,9
1,15/01/2016,15/01/2016,Tiberias,12,9,10,11,8
2,14/01/2016,15/01/2016,Tiberias,12,9,10,11,9
1,15/01/2016,15/01/2016,Zefat,7,7,8,7,9
2,14/01/2016,15/01/2016,Zefat,7,6,7,7,10
1,16/01/2016,16/01/2016,Afula,4,9,12,10,12
2,15/01/2016,16/01/2016,Afula,4,10,12,10,12
1,16/01/2016,16/01/2016,Ashdod,10,13,12,13,12
2,15/01/2016,16/01/2016,Ashdod,10,13,12,11,12
1,16/01/2016,16/01/2016,Beer Sheva,6,9,11,12,12
2,15/01/2016,16/01/2016,Beer Sheva,6,10,12,12,15
1,16/01/2016,16/01/2016,Bet Shean,7,10,12,11,14
2,15/01/2016,16/01/2016,Bet Shean,7,9,12,12,13
1,16/01/2016,16/01/2016,Elat,13,8,17,14,16
2,15/01/2016,16/01/2016,Elat,13,9,15,13,14
1,16/01/2016,16/01/2016,En Gedi,17,13,16,15,19
2,15/01/2016,16/01/2016,En Gedi,17,13,16,14,16
